题目,朝代,作者,内容,来源,词牌
"红楼梦","","曹雪芹","此开卷第一回也。作者自云：因曾历过一番梦幻之后，故将真事隐去，而借通灵之说，撰此《石头记》一书也。故曰甄士隐云云。但书中所记何事何人？自又云：今风尘碌碌，一事无成，忽念及当日所有之女子，一一细考较去，觉其行止见识皆出于我之上。","中国古典名著",""
"三国演义","","罗贯中","话说天下大势，分久必合，合久必分。周末七国分争，并入于秦；及秦灭之后，楚、汉分争，又并入于汉；汉朝自高祖斩白蛇而起义，一统天下，后来光武中兴，传至献帝，遂分为三国。","中国古典名著",""
"西游记","","吴承恩","混沌未分天地乱，茫茫渺渺无人见。自从盘古破鸿蒙，开辟从兹清浊辨。覆载群生仰至仁，发明万物皆成善。欲知造化会元功，须看西游释厄传。","中国古典名著",""
"水浒传","","施耐庵","试看书林隐处，几多俊逸儒流。虚名薄利不关愁，裁冰及剪雪，谈笑看吴钩。评议前王并后帝，分真伪，占据中州，七雄扰扰乱春秋。","中国古典名著",""
"封神演义","","许仲琳","纣王坐享太平，万民乐业，风调雨顺，国泰民安，四夷拱手，八方宾服。一日，纣王早朝登殿，设聚文武。","中国古典名著",""
"聊斋志异","","蒲松龄","王子服，莒之罗店人。早孤，聪慧过人，十四岁入泮。母最爱之，寻常不令游郊野。","中国古典名著",""
"儒林外史","","吴敬梓","人生南北多歧路，将相神仙，也要凡人做。百代兴亡朝复暮，江风吹倒前朝树。功名富贵无凭据，费尽心情，总把流光误。","中国古典名著",""
"镜花缘","","李汝珍","昔唐敖游历海外，至君子国，见其衣冠周正，言谈礼让，买卖之中，亦存古道。","中国古典名著",""
"老残游记","","刘鹗","老头子在山东后门口，见曹州府衙，审案之酷，令行人侧目。乃做《老残游记》，以寄悲悯。","中国古典名著",""
"官场现形记","","李宝嘉","却说江西巡抚李大人，下了几道札子，叫各州县加紧供应。文案师爷们连夜筹画，弄得通省鸡犬不宁。","中国古典名著",""
"二十年目睹之怪现状","","吴趼人","我回想那时，正当十六岁，因父亲病故，到金陵去奔丧。一路上所见所闻，尽是些闻所未闻的怪现状。","中国古典名著",""
"三侠五义","","石玉昆","包公自断乌盆案，又断狸猫换太子，名震天下。仁宗天子降旨，封他龙图阁学士，兼理开封府尹。","中国古典名著",""
"东周列国志","","冯梦龙","周室既衰，诸侯放恣。齐桓、晋文相相继霸，五霸迭兴，天下纷纭。","中国古典名著",""
"隋唐演义","","褚人获","自古天下皆大乱而治，治而复乱。隋氏起自北周，平陈灭周，混一南北，遂有天下。","中国古典名著",""
"傲慢与偏见","","简·奥斯汀","It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife. 有钱的单身汉总要娶位太太，这是一条举世公认的真理。","世界名著",""
"简爱","","夏洛蒂·勃朗特","There was no possibility of taking a walk that day. 那一天，我们是不可能出去散步了。我蜷缩在窗台上，心里翻腾着许多念头。","世界名著",""
"呼啸山庄","","艾米莉·勃朗特","1801年，我刚刚拜访过我的房东回来——这位房东，就是那个让我今后将深陷其中的怪人希思克利夫。","世界名著",""
"战争与和平","","列夫·托尔斯泰","Well, Prince, so Genoa and Lucca are now just family estates of the Buonapartes. 公爵夫人安娜·巴芙洛夫娜的晚会上，人们正谈论着战争与拿破仑。","世界名著",""
"安娜·卡列尼娜","","列夫·托尔斯泰","幸福的家庭都是相似的，不幸的家庭各有各的不幸。奥勃朗斯基家里一切都乱了。","世界名著",""
"巴黎圣母院","","维克多·雨果","几百年前，巴黎圣母院的钟声回荡在塞纳河上，加西莫多敲响了那口伟大的钟。","世界名著",""
"悲惨世界","","维克多·雨果","只要世间还存在着无知和贫穷，这类书就或许不会没有用处。1815年，冉阿让从苦役场释放出来。","世界名著",""
"基督山伯爵","","大仲马","1815年2月24日，青年水手爱德蒙·唐泰斯从远航归来，正待娶妻，却被诬陷入狱，开始了他的复仇长旅。","世界名著",""
"双城记","","查尔斯·狄更斯","It was the best of times, it was the worst of times. 那是最好的年月，那是最坏的年月。","世界名著",""
"雾都孤儿","","查尔斯·狄更斯","在伦敦的雾都里，孤儿奥利弗·退斯特在济贫院出生，生来就注定了要经历一番坎坷。","世界名著",""
"红与黑","","司汤达","维里埃市长选中了年轻的木匠之子于连·索雷尔做家庭教师，这段卑微而野心勃勃的少年从此踏上命运之路。","世界名著",""
"包法利夫人","","福楼拜","爱玛·包法利，一位乡村医生的妻子，读着小说长大，总渴望那浪漫而热烈的生活。","世界名著",""
"茶花女","","小仲马","茶花女玛格丽特，巴黎名妓，与青年阿尔芒相识相恋，却被世俗与病痛一再阻隔。","世界名著",""
"罗密欧与朱丽叶","","莎士比亚","Two households, both alike in dignity. 维罗纳城里，两家世仇，偏偏一对恋人相爱了。","世界名著",""
"哈姆雷特","","莎士比亚","To be, or not to be: that is the question. 生存还是毁灭，这是一个值得思考的问题。","世界名著",""
"唐吉诃德","","塞万提斯","拉曼却地方有一位绅士，读骑士小说入了迷，立志要做游侠骑士，四处行侠。","世界名著",""
"鲁滨逊漂流记","","笛福","我出生于约克城一殷实人家，一心向往航海。一次风暴后，我流落荒岛，独自生活了二十八年。","世界名著",""
"格列佛游记","","斯威夫特","我，格列佛，随船航行，遭遇风暴，漂到小人国，故土在巨人眼中小如微尘，后又在大人国与飞岛游历。","世界名著",""
