题目,朝代,作者,内容,来源,词牌
农夫与魔鬼,,,从前有位远见卓识、机智聪明的农夫，有关他足智多谋的故事至今人们仍广为传颂。其中最精彩的要首推他曾经怎样捉弄魔鬼的故事。⏎一天，农夫在田间劳动了一整天，天黑时正准备回家，忽然发现自己的田里有堆煤在燃烧，他惊讶万分，于是便走上前去看，发现竟有一个黑色的小魔鬼走在燃烧的煤堆上。⏎“你是坐在财宝上吗？”农夫问。⏎“正是财宝。”魔鬼答道，“而且比你一生见到的都要多呢！”⏎“财宝在我田里就得归我。”农夫说道。⏎“就归你吧！”魔鬼说，“只要你肯将两年内一半的收成给我就行了。钱，我有的是，但我更喜欢地上的果实。”⏎农夫答应了这桩交易，并说：“为了避免在我们分配时出现纠纷，凡泥土上的东西归你，泥土下的归我。”魔鬼感到心满意足，但这位聪明的农夫却种上了萝卜。⏎现在收获的季节到了，魔鬼又来了，要求收回属于他的收成。但除了那些枯黄的败叶外，他一无所获；而农夫却在兴高采烈地挖着他的萝卜。⏎“这次让你占了便宜，”魔鬼说，“下次可不能这样。地上的归你，地下的归我。”⏎“悉听尊便。”农夫答道。⏎播种的季节又到了，这次他可不播萝卜，而是种上了小麦。⏎麦子熟了，他来到田间，把麦秆齐根割倒在地。魔鬼又来了，见到除了残茬外，他又一无所获，气得转身就走，顺着石缝钻了进去。⏎“我就是这样骗倒魔鬼的。”农夫说完，赶紧拾起财宝回家去了。,故事365·寓言,
金斧头,,,从前，有一个人叫陈平，他家里很穷，连饭都很难吃上。为了糊口，爸爸妈妈只好让他给地主刘扒皮家干活。⏎陈平每天从早忙到晚，不歇气儿。可是刘扒皮还嫌他干的活少，动不动就打骂他。⏎冬天到了，寒风刺骨，人们都躲在家里不敢出门。可刘扒皮扔给陈平一把斧头，逼他上山砍柴去。⏎陈平穿着单薄的衣服往山上爬，手脚都冻僵了。经过独木桥时脚步不稳，插在腰间的斧头滑出去，掉进河里去了。 没有了斧头，不能上山砍柴，回家又怕地主的皮鞭子，他急得在河岸上放声大哭。⏎他的哭声感动了河神。 河神化成个白胡子老爷爷，站在陈平面前，问陈平。 “孩子，你哭什么？什么事情使你这样伤心？”⏎“老爷爷，我的斧头落到河里去了，我怕东家的皮鞭子！”陈平老老实实地回答。⏎“孩子，别伤心啦，我下河给你捞上来。”老爷爷刚说完话，“扑通”一声跳到河里。⏎老爷爷拿上来一把金斧头，问陈平：“孩子，这把斧头是你的吗？”陈平接过来一看，金光闪闪，怪可爱的，但是他说：“老爷爷，这不是我的。”老爷爷点点头，和蔼地笑了笑。⏎老爷爷又跳下河去，这一次拿上来的是一把银斧头，银光亮亮，怪可爱的。但是，陈平说：“老爷爷，这把斧头也不是我的。”老爷爷仍然点点头，又和蔼地笑了笑。⏎老爷爷第三次跳下河去，这一次拿上来的是一把铁斧头。陈平接过来一看，说：“谢谢老爷爷，这把是我的斧头了。”老爷爷仍然点点头，又和蔼地笑了笑说：“孩子，诚实的孩子，你会永远愉快和幸福的！”⏎陈平正要向老人家道谢，可是一眨眼老爷爷就不见了。⏎陈平拿了这把斧头，说来也奇怪。斧子变得特别好用，砍起柴特别轻松，不大一会儿就砍好了一担柴。很快，就他愉快地唱着山歌，挑着柴回家了。⏎刘扒皮一见陈平就破口大骂:“你这个懒东西!不好好砍柴，这么早就溜回来，罚你今天没饭吃!”⏎陈平指着那满满的一担柴叫刘扒皮看，还把丢斧头的经过讲了一遍。刘扒皮听了，大骂陈平是傻瓜，同时一个鬼主意从他脑子里冒了出来。⏎第二天，刘剥皮伪装去砍柴，过河的时候，故意把斧头丢到河里，假意地放声大哭，比陈平哭的声音还要大。河神也被感动了。⏎“老乡亲，你哭什么？什么事情使你这样伤心？”⏎“我的斧头落到河里去了，我怕主人的皮鞭子！”刘剥皮回答。⏎“老乡亲，别伤心啦，我下河给你捞上来。”老爷爷刚说完话，“扑通”一声跳到河里。⏎老爷爷又跳下河去，这一次拿上来的是一把银斧头，银光亮亮，怪可爱的。但是，刘剥皮说：“这把斧头也不是我的。”⏎老爷爷第三次跳下河去，这一次拿上来一把金斧头。⏎“老乡亲，这把斧头是你的吗？”老爷爷这句话的声音很响亮，声音里还有点愤怒。⏎刘剥皮一看，金斧头金光闪闪，想着这可值多少钱！他笑嘻嘻地说：“谢谢你，这把斧头可真是我的了！”⏎老爷爷把金斧头给了刘剥皮，自己走了。⏎不过这次，他的脸上不但没有露出和蔼的笑容，反而很生气，刘扒皮可没空管这些，他心里一直盘算着该用这把金斧头做些什么，但就是没想过用它来砍柴。河里的水流很急，就像是生气了一样。⏎刘扒皮此时只顾着高兴了，忘了自己是走在独木桥上，他还在桥上挥舞斧头呢，金斧头可比铁斧头重多了。他一不小心掉进了水里，他在湍急的水流里探了两次头，就不知道冲到哪里去了。,故事365·寓言,
乌鸦喝水,,,一个干旱炎热的夏天，一只口渴的乌鸦找不到水喝，乌鸦飞来飞去，已经累得精疲力尽了，乌鸦突然发现地面上有一口井，他兴奋地朝井边飞去，乌鸦心想：终于找到水喝了！⏎可是，井里一滴水也没有，这时，乌鸦发现井边有一个瓶子，乌鸦高兴极了，心想：我可以从瓶里弄到水喝了！可是，瓶子里水很少，瓶口又很小，乌鸦把嘴伸进瓶口试了试，根本喝不到水，乌鸦想把水瓶撞到，他撞了几下，水瓶动也没动，眼看着瓶里的水喝不到嘴，乌鸦又气又急，乌鸦搂住水瓶，用力地摇晃，水瓶仍然没动，乌鸦用头使劲顶，水瓶还是不动，哎！乌鸦觉的自己太笨了，又渴又累的乌鸦失望地坐在地上。⏎这是，乌鸦看到地上有许多石子，忽然想起了一个好主意，乌鸦用嘴叼起石子，投进水瓶里，乌鸦投了一些石子，瓶子里的水位开始上升了，乌鸦不停地往瓶子里投石子，瓶子里的水位越升越高，乌鸦越投越起劲，眼看就要喝水了，瓶子里的水已经升到了瓶口，乌鸦终于喝到水了。⏎乌鸦喝足了水，快乐地飞走了。,故事365·寓言,
守株待兔,,,宋国有个农夫种着几亩地，他的地头上有一棵大树。一天，他在地里干活，忽然看见一只兔子箭一般地飞奔过来，猛的撞在那棵大树上，一下子把脖子折断了，蹬蹬腿就死了。⏎这个农夫飞快的跑过去，把兔子捡起来，高兴地说：“这真是一点劲没费，白捡了个大便宜，回去可以美美地吃上一顿了。”他拎着兔子一边往家走，一边得意地想：“我的运气真好，没准明天还会有兔子跑来，我可不能放过这样的便宜。”⏎第二天，他到地里，也不干活，只守着那棵大树，等着兔子撞过来。结果，等了一天什么也没等到。他却不甘心，从此，天天坐在那棵大树下等着兔子来撞死。他等呀等呀，直等到地里的野草长得比庄稼都高了，连个兔子影也没有再见到。⏎“守株待兔”的成语就是从这个故事来的。人们用它来比喻不想努力，而希望获得成功的侥幸心理。,故事365·寓言,
揠苗助长,,,有个急性子的宋国人，日夜盼望稻田里的稻子快些长大。可是，稻子是要慢慢长的，不能照他想的那样长的那么快。⏎有一天，他想出了一个妙计：下得田去，把每棵稻子都从土里拔高了一些。⏎“好累啊！辛辛苦苦干了一整天！不过，田里的稻子倒是都长高好些了。”⏎他的儿子听说田里的稻子长高了好些，连忙跑到田里去看。可是，糟糕得很，田里的稻苗的叶子，都开始枯萎了。⏎拔苗助长比喻违反事物发展的客观规律，为急于求成，反而坏事。,故事365·寓言,
螳螂捕蝉,,,吴王一向很专横，要想说服他是件很难的事情。⏎有一次，吴王准备进攻楚国。他召集群臣，宣布要攻打楚国。大臣们一听这个消息，低声议论起来，因为大家都知道吴国目前的实力还不够雄厚，应该养精蓄锐，先使国富民强，这才是当务之急。⏎吴王听到大臣们在底下窃窃私语，似有异议，便厉声制止道：⏎“各位不必议论，我决心已定，谁也别想动摇我的决心，倘若有谁执意要阻止我，决不轻饶！”⏎众大臣面面相觑，谁也不敢乱说一句说，于是，匆匆退朝。⏎大臣中有一位正直的年轻人，他下朝后心中仍无法安宁，思前想后，他觉得不能因为自己而不顾国家的安危。这位大臣在自家的花园内踱来踱去，目光无意中落到树上的一只蝉的身上，他立刻有了主意。⏎第二天一大早，这位大臣便来到王宫的后花园内，他知道每天早朝前吴王都要到这里散步，所以，他有意等在这里。⏎过了大约两个时辰，吴王果然在宫女的陪同下，来到后花园。那位大臣装着没有看见吴王，眼睛紧盯着一棵树。⏎吴王看到这位大臣的衣服已经被露水打湿了，却仿佛没有察觉一般，眼睛死死地盯着树枝在看什么，手里还擒着一只弹弓，便很纳闷地拍拍他的肩，问道：⏎“喂，你一大早在这里做什么？何以如何入神，连衣服湿了都不知道？”⏎那位大臣故意装作仿佛刚刚看到吴王，急忙施礼赔罪道：⏎“刚才只顾看那树上的蝉和螳螂，竟不知大王的到来，请大王恕罪。”⏎吴王挥挥手，却好奇地问：⏎“你究竟在看什么？”⏎那位大臣说道：⏎“我刚才看到一只蝉在喝露水，毫无觉察一只螳螂正弓首腰准备捕食它，而螳螂也想不到一只黄雀正在把嘴瞄准了自己，黄雀更想不到我手中的弹弓会要它的命  ”⏎吴王笑了说：⏎“我明白了，不要再说了。”⏎终于，吴王打消了攻打楚国的念头。,故事365·寓言,
刻舟求剑,,,古时候，楚国有一个人，在他坐船过江的时候，一不小心，把身上挂的一把宝剑掉进江里去了。那个人不慌不忙地从衣袋里取出一把小刀，在船舷上落下宝剑的地方刻了一个记号。嘴里自言自语嘱咐自己： “别忘记了，我的宝剑是从这儿掉下去的。”⏎同船人见他不着急的样子都很纳闷，就问他：“为什么不赶快下水捞宝剑？你在船舷上刻个记号有什么用呀？”⏎“着什么急，我的宝剑是从这个地方掉下去的，一等船靠岸了， 我就要从这个刻有记号的地方跳下水去，把宝剑找回来。”⏎过了一会儿，船到了目的地，停下来靠了码头，这个人便从船上刻的记号处，跳下水去捞宝剑，可是，摸了好长时间也没有找到。⏎同船人看到他这样寻找宝剑都感到很可笑，有一个人说：“宝剑掉江里以后，船还是在行走的，而宝剑沉在水底下是不会跟着走的。 事实上，现在船离开丢剑的地方已经很远了，再按船舷上刻记号处去找 它怎么能找到呢？”⏎大家都议论说：“这个人连一个很普通的道理也不懂得呢。”⏎后来人们根据这个故事引申出“刻舟求剑”这句成语， 比喻人们做事情要从客观实际出发，注意事物的发展变化，来处理事情。,故事365·寓言,
邯郸学步,,,相传在两千年前，燕国某地有一位少年，不愁吃不愁穿，论长相也算得上中等人材，可他就是缺乏自信心，经常无缘无故地感到事事不如人，低人一等  衣服是人家的好，饭菜是人家的香，站相坐相也是人家高雅。他见什么学什么，学一样丢一样，虽然花样翻新，却始终不能做好一件事，不知道自己该是什么模样。⏎家里的人劝他改一改这个毛病，他认为是家里人管得太多。亲戚、邻居们说他是狗熊掰棒子，他也根本听不进去。日久天长，他竟怀疑自己该不该这样走路，越看越觉得自己走路的姿势太笨、太丑了。⏎有一天，他在路上碰到几个人说说笑笑，只听得有人说邯郸人走路姿势很美。他一听，急忙走上前去，想打听个明白。不料想，那几个人看见他，一阵大笑之后扬长而去。⏎邯郸人走路的姿势究竟怎样美呢？他怎么也想象不出来，这成了他的心病。终于有一天，他瞒着家人，跑到遥远的邯郸学走路去了。⏎一到邯郸，他感到处处新鲜，简直令人眼花缭乱。看到小孩走路，他觉得活泼、美，学；看见老人走路，他觉得稳重，学；看到妇女走路，摇摆多姿，学。就这样，不过半月光景，他连走路也不会了，路费也花光了，只好爬着回去了。⏎故事出自《庄子 秋水》。成语“邯郸学步”，比喻生搬硬套，机械地模仿别人，不但学不到别人的长处，反而会把自己的优点和本领也丢掉。,故事365·寓言,
南辕北辙,,,小石头正在路口放羊，从远处来了一辆马车，下来一个人问：“请问到楚国该怎么走呀？”⏎小石头用手里的鞭子指着南边的大路说：“顺着这条路走，就可以到了。”⏎可那人却让马车拐向北边的路，小石头大叫：“错了，错了，方向不对。”那人笑笑说：“没关系，我的马好，日行千里，夜行八百。”⏎小石头摇摇头：“马跑得越快，你离楚国越远了呀。”那人满不在乎，拍拍身上的钱袋子说：“别担心，我有足够的路费，一定没问题的。”⏎小石头说：“钱再多，也得走对路才行啊。”那人又得意地指着自己的车夫说：“这可是最好的车夫，我花了很多钱请来的，你就别操心了。”⏎小石头叹口气说：“那你就走吧，祝你好运哦。”那人对着车夫喊：“出发！”车夫对着马儿说：“驾！”然后他们飞快地向北驶去。⏎（小朋友，你说那人能到楚国吗？你有没有像他这样，明知道是错的事情，还要做呢？）,故事365·寓言,
买椟还珠,,,有一个来自楚国的商人，他有一颗非常漂亮的珍珠。为了能把珍珠卖个好价钱，他决定为珍珠做一个漂亮的盒子。⏎商人请来手艺高超的木匠为珍珠做盒子。盒子的做好后，木匠用香料把它熏得香气扑鼻。⏎熏完香后，木匠又对盒子进行装饰，让这个盒子立刻变得精美绝伦，与众不同。⏎商人拿过盒子，小心翼翼地将珍珠放进去，抱着盒子快步走向市场。⏎商人把盒子一拿出来，市场上的人就被盒子美丽的外表和香气吸引了。⏎这时，人群中的一个郑国人从商人手中拿过盒子，爱不释手地左看右看，终于出高价买了下来。⏎可是，郑国人拿着盒子没走几步，突然又走了回来。商人以为郑国人后悔了。⏎可谁知，郑国人拿出盒子里的珍珠递给商人，然后拿着盒子，一边欣赏一边走了。⏎商人拿着被退回的珍珠尴尬极了。没想到，精美的盒子在别人眼里竟然超过了珍珠的价值。⏎买椟还珠：我国古代成语，出自《韩非子》，原意是买来珠宝却只留下漂亮的盒子，不要里面真正价值高的珠宝。现在经常用来比喻没有眼光，取舍不当，丢了西瓜捡芝麻，不值得。,故事365·寓言,
