题目,朝代,作者,内容,来源,词牌
"金乌和玉兔","","","金色的太阳里，住着一只长着三只脚的金色乌鸦。银色的月亮里，住着一只洁白的玉兔。他们俩是好朋友。⏎这天傍晚，银色的月亮早早地升了起来。玉兔躺在月宫里那棵古老的桂树下，一阵风吹来，金色的桂花飘落下来，月宫里到处都是甜甜的香气。⏎“金乌最喜欢月宫的桂花茶了。”玉兔看着细雨般飘落的桂花说。他突然很想很想见到他的好朋友三足金乌。⏎“这么久没见面了，他也不来找我玩儿。”玉兔嘴里嘟哝了一声，从桂花树下的躺椅上跳起来，“我得去看看他！”⏎他从淡淡的银白色的月亮里探出头，向西方望去。还好，太阳还没有落山，他正在群山的上空，欢快地吹着金色小号，嘹亮的号声在天空中回响着，西边的天际铺满橙红的晚霞。⏎还来得及！玉兔匆匆地做起准备来：从桂花树上摘下最新鲜的、金灿灿的桂花，把它们装进一个漂亮的小瓷瓶里，再把瓷瓶放进一个亮闪闪的、锦缎做的盒子里，给盒子打上一个美美的蝴蝶结。最后，他穿上一双有弹性的、绣满星星的小鞋子，提上桂花茶礼盒，一跃从月亮里跳了出来。⏎月亮旁那颗最亮的星，正闪烁着光芒。跑快点儿，再跑快点儿，太阳已经擦着山尖儿啦。玉兔对自己说，他在淡蓝的天空中奔跑起来，晚风“嗖嗖”地从他耳边掠 过。他跑过稀稀落落、闪烁着光芒的星星，跑过丝丝缕ǚ缕ǚ的白云，跑向铺满红色晚霞的天际。⏎太阳有一半已没入山中，那悠扬的号声回响在耳边。⏎快点儿！快点儿！为了见到久违的朋友，玉兔跑得像一支白色的箭。他奔跑在橙红的绚丽彩霞上，洁白的身躯被太阳的余晖照得通红。⏎太阳吹完最后一个音符，悠长的余音缭绕在山间。他伸了个懒腰，正要没入山中。⏎玉兔高声叫道：“等等我！”⏎“快跳过来！”太阳叫道。⏎玉兔后腿蹬得笔直，“噌”地跃进太阳里，铺天盖地的金色立即笼罩住了他。“咚”的一声，太阳完完全全地没入了山中。⏎在太阳那金色的原野里，长满了同样金色的树木和花草。原野中间最高的那棵树一直延伸到天空的顶端。那棵树上，站着玉兔的好朋友三足金乌。⏎见到玉兔，他高兴极了，展开双翅迎上来：“好朋友，你来了！我们有多久没见了？”⏎两个好朋友兴奋地拥抱在一起。他们一起坐在那棵最高的树下，吃着金乌摘来的各种水果，喝着玉兔带来的桂花茶，聊着有趣的事情，心里都是说不出的快乐。⏎如果你没在月亮里看到玉兔，别着急，他一定是去太阳那里找金乌了。","故事365·神话",""
"年兽","","","小妖精羡慕地望着山下灯火通明的村庄，欲行又止。⏎小妖精是一只年兽。万年以前，他的祖先曾为害人间，但那与如今的他没什么关系。⏎小妖精只是向往着热闹，那些张灯结彩的喜庆气氛，对孤独的他来说有着无上的吸引力。⏎“看什么呢？”有人拍了拍小妖精的肩膀。⏎小妖精被吓了一跳。他回过头，是山腰道观的小道士。小妖精心虚，支支吾吾好半天也说不出一句完整的话。⏎“走，带你下山玩。”⏎那一天，小妖精第一次吃了春卷，那是他一生中吃过最好吃的东西。他还看了舞狮，在街上蹦蹦跳跳、触碰着各家门口的红色灯笼。⏎年关将至的几天里，小妖精每天都要被小道士带着下山去玩。直到观里的老道长捏着他俩的耳朵训斥，一人一妖才老实打扫卫生、装饰道观。⏎小妖精委屈地贴着门神：“我怎么也要干活啊？”⏎“帮我干点活怎么了？”小道士道，“你吃的春卷还是用我的零花钱买的呢。”⏎“贴门神一点意思也没有，”小妖精撇了撇嘴，“我还想吃春卷。”⏎“没意思，但有用，”小道士摇着手指道，“要靠它防年兽的。”⏎“我看年兽也未必怕这个！”小妖精突然有点激动，“再说了，几千年都没人见过年兽，万一年兽已经变好了呢？”⏎小妖精气鼓鼓地背过身去，不再搭理小道士。⏎今年的第一声炮响传来了。⏎爆炸的声音激发了小妖精心中的恐惧，使其不自觉地想要逃跑。接着，鞭炮声此起彼伏，小妖精努力强装镇定，其实腿都开始微微颤抖起来。⏎他用法术隐藏起的年兽特征，也逐渐要显出原形。⏎“如果年兽变好了，一定很爱吃春卷。”小道士小声道。⏎他偷偷伸出手，捂住了小妖精的耳朵。","故事365·神话",""
"二月二龙抬头的传说","","","很久很久以前，人间的百姓们都靠着辛勤耕种过日子。有一年，因为农忙时节大家太过投入，不知不觉耽误了几天时间。这事儿传到了玉帝的耳朵里，玉帝大发雷霆，觉得百姓们没有严格遵循他定下的时间规矩，于是下令让龙王三年内不许给人间降雨。⏎从那以后，人间就陷入了可怕的旱灾。土地干裂，庄稼颗粒无收，老百姓们吃不上饭，日子苦不堪言。龙王的小儿子青龙，心地善良，他实在不忍心看着百姓们挨饿受冻。一天夜里，趁着玉帝和其他神仙不注意，青龙偷偷施展法力，为人间降下了一场及时雨。⏎可纸包不住火，玉帝很快就发现了青龙违抗命令的事。玉帝怒不可遏，他觉得青龙严重触犯了天规，必须受到严厉惩罚。于是，玉帝大手一挥，把青龙压在了一座大山之下。不仅如此，玉帝还在山上立了一块石碑，上面刻着：“青龙降雨犯天规，当受人间千秋罪。要想重登凌霄殿，除非金豆开花时。”⏎百姓们知道青龙是为了救他们才被惩罚，心里十分着急，都在想办法救青龙。日子一天天过去，大家始终没有想出金豆开花的办法。⏎直到第二年二月初一，一户人家把家里的黄豆和玉米拿到院子里翻晒。有个老头看着这些黄豆和玉米粒，突然灵机一动，他觉得这些豆子和颗粒圆滚滚、黄澄澄的，多像金豆啊！老头兴奋极了，连忙把黄豆和玉米拿回家，放进锅里炒。随着锅里响起噼里啪啦的声音，一颗颗豆子和玉米粒爆开了花。老头激动地揭开锅盖，大声喊道：“金豆开花了！金豆开花了！”⏎这事儿很快就传到了天庭，玉帝知道后，也没有办法再继续惩罚青龙，只好赦免了他。只听一声巨响，压着青龙的大山被劈成了两半。青龙从山下一跃而起，腾空而上，瞬间，天空乌云密布，大雨倾盆而下。干涸的大地得到了雨水的滋润，万物开始复苏，百姓们欢呼雀跃。⏎从那以后，每年二月二，人们都会想起青龙为大家做出的牺牲。“二月二龙抬头”的说法也流传了下来，还形成了很多有趣的习俗。比如，人们会在这一天剃龙头，希望自己一年都精神抖擞；敲打房梁，期望蝎子、蜈蚣等害虫不敢靠近；打扫锅底，寓意省柴省火不浪费粮食；清扫炕席，盼望着一整年都清清爽爽。","故事365·神话",""
"夸父追日（夸父逐日）","","","在远古时代，有一个名叫夸父的人。他力气非常大，一只手就能拔起一棵大树；抬脚走一步，就能跨过一条大河。⏎那个时候，人们住在树林里，穿树皮，吃野果，生活非常艰难。每到冬天的夜晚，人们又冷又饿，因此大家都害怕黑夜，希望太阳在白天能停留得长一些。⏎善良的夸父决定追上太阳，请它在白天多停留一会儿。⏎夸父站在山顶上，当太阳出现的时候，就大声喊道：“太阳，你能不能慢点儿走，让白天更长一些呢？”太阳没有回答，急急忙忙地走了。⏎第二天，夸父又来到山顶上，对着刚升起的太阳喊：“太阳，你能不能慢点儿走，给人们多一些阳光和温暖呢？”太阳仍然没有理睬他。⏎夸父急忙拿起手杖，追了上去。他发誓要捉住太阳，不让它落山。⏎太阳爬上了山顶，夸父就追上山顶。太阳落到峡谷，夸父就追到峡谷。夸父跑过无数座大山，跨过无数条大河，一直追了七天七夜，太阳有点害怕了，跑得越来越快，眼看就要落山了。⏎夸父追啊追啊，跑啊跑啊，大阳这个大火球烤得他嗓子都快要冒烟了，他越来越渴，越来越累，快要倒下去了。于是，夸父就跑到黄河边，一头扎进水里，咕咚咕咚，很快就把黄河水喝干了。⏎可是他仍然很渴，就来到渭水边，咕咚咕咚，一口气把渭水喝光了。⏎夸父继续追赶太阳。但是他实在太累太渴了，走着走着，就倒在地上再也没有站起来。⏎夸父死后，他的高大身躯变成了山脉，头发变成了树木，血液变成了河流，扔出去的那根手杖，变成了一片桃林。⏎｜盘古开天辟地｜女娲补天｜后羿射日｜","故事365·神话",""
"哪吒闹海","","","从前有一位大将军，叫做李靖，他的夫人生孩子，生下来一个圆圆的肉球，在地上滚来滚去，李靖说：“这一定是个妖怪。”拿出宝剑来，朝着那肉球一劈，真怪，那肉球一裂开，从里面跳出一个男娃娃来，胖胖的脸，可逗人喜欢了。⏎李靖看呆了，正不知道该怎么好，一位神仙找他来了。这位神仙说：“恭喜，恭喜！我知道你生了个男娃娃。这娃娃很了不起，让我收他当徒弟吧。”说着，拿出一个镯子，一块手帕，交给李靖，“这是我送给徒弟的礼物，这镯子叫做乾坤圈，这手帕叫混天绫。” 这娃娃就是哪吒。七岁那年，一天天气热极了，他到大海里去洗澡，拿着混天绫在水里一晃，就掀起大浪，大浪把东海龙王的水晶宫震得东摇西晃。龙王吓了一大跳，就派了一个夜叉上去看看，到底是怎么回事。⏎夜叉钻出水面一看，原来是个娃娃在洗澡，举起斧头就砍。哪吒可机灵啦，连忙把身于一闪，取下乾坤圈，向夜叉扔去。别看这小小的乾坤圈，它比一座大山还重，正好打中夜叉的脑袋，一下就把他打死了。龙玉听说夜又给打死了，气得一个劲地吹胡子，就叫他的儿子三太子带上兵，去把哪吒捉来。他的兵是什么呀，是虾、鱼、蚌、螃蟹，哩哩啦啦的一大串。⏎三太子冲出水面，对哪吒说：“打死我家夜叉的是你吗？” 哪吒说。“是我，是我。我好好儿的在洗澡，你家夜叉话不问一句，就拿斧头劈我，我用乾坤圈碰了他一下，他就死了．他那么大的个儿，怎么一点儿也挨不起打呀？” 三太子蛮不讲理，举起枪就刺，哪吒让了他好几次，可是三太子就是不放过他。哪吒急了，就把混天绫一扔，这混天绫马上喷出一团团火焰，把三太子紧紧裹住，怎么也逃不掉。哪呢又拿乾坤圈一打，把三太子也打死了，吓得那些虾兵蟹将连滚带爬地钻到水里去。三太子一死，就现出原形来了，原来是一条小龙。哪吒把他拖到岸上，心想：爸爸少一根腰带，我把这小龙的龙筋抽出来，搓一根腰带送给爸爸不好吗？他就把小龙的龙筋一根根的抽了出来，带回家去。⏎龙王听说自己的儿子也被哪吒打死了，又是伤心，又是生气，就变成一个读书人的样子，离开水晶宫，来找李靖了。龙王气冲冲地对李靖说；“你生的好儿子，打死了我家夜叉，又打肥我的三太子！” 李靖说；“你弄错了吧，我的儿子哪吒才七岁，能打死人吗？” 龙王说：“你不信，就把他找来问一问。” 李靖找了前屋我后屋，又找到花园里，哪儿也没找着哪吒。原来哪吒躲在一间小屋子里，在搓龙筋呢。李娟好容易才找到他：“你在这小屋子里做什么？” 哪旺说：“爸爸，我今天打死了一条小龙，抽了他的筋，正在给你搓腰带呢。” 李靖这才知道哪吒真的闯了大祸。只好带了他去见龙王。哪吒看见龙王就说： “老伯伯，请您别生气。我不是故意打死你家三太子的。他用枪刺我，我让了他好几次，可是他还一个劲地追着打我。我没法儿了，才还了手，不小心把他打死了。您瞧，这是从他身上抽下来的龙筋，还给您就是了。”⏎哪吒火冒三丈，把手伸进龙王的衣服里，去揭他身上的鳞片。原来龙和鱼差不多，身上也长着一片片的鳞，这一揭可不得了，痛得龙王直叫救命：“饶了我吧，烧了我吧，我不告状了。” 哪吒这才松了手，说：“那好，你跟我回去吧！”他怕龙王半路上逃走，就叫龙正变成一条小龙，只有蚯蚓那么大小，再把小龙藏在袖子里，带着回家去了。⏎哪吒的爸爸车站正在发愁，哪吒回来了，他说：“爸爸，你不用发愁，龙王不会去告状了。”；李靖说：“你闯了祸，还在胡说八道。” “爸爸，真的，龙王再也不会去告状了，我赶到南天门，拦住了他，不让他去告状，他答应了。” 李靖不相信，哪吒说：“你不信，就问问他自己吧。” 李靖问他：“龙正在哪里呀？” “龙王在我袖子里呢。”哪吒把袖子一抖，抖出一条小龙来，小龙一着地，就变成龙王了。⏎龙王怒气冲冲，告诉李靖，哪吒怎么把他打倒在地，怎么揭他身上的鳞片，恶狠狠地说：“你等着吧！我要请南海、西海、北海的龙王，一齐来打你，把你这个地方淹成一片汪洋大海。”说完就变作一阵清风走了。这个东海的龙王，真的请了南海、西海、北海的龙王，带了许多许多虾兵蟹将来了。李靖听说了，慌忙出门去迎接。⏎东海龙王见了李靖，大叫一声：“快给我把他绑起来：” 虾兵蟹将就奔上去，把李靖绑了起来。这时候，哪吒从屋里跑了出来，对东海龙王说：“打死夜叉的是我，打死三太子的是我，把您打倒在地，揭您的鳞片的也是我。跟我爸爸没有关系，快把我爸爸放了。我一个人做的事，由我一个人来担当。您说吧，您要怎么办？” 东海龙王牙齿咬得格格响，说；“我要杀了你，给我的儿子报仇。” 哪吒说：“好啊！不用你们动手，我自己来．”说着，抽出宝剑就把自己杀死了。⏎四海龙王只好把李靖放开，收兵回去了。哪吒的师父听说哪吒死了，不慌不忙，到荷花池里摘了荷花、荷叶，又挖了几节嫩藕，摆成一个人的样子，大叫一声：“哪吒，哪吒，还不快快起来！”那荷花、荷叶和嫩勘藕马上变成了哪吒，他好象睡了一大觉刚刚醒来呢。师父又给了哪吒两件宝贝：一技火尖枪，两只风火轮。哪吒脚踩风火轮，走起路未就象飞一样，他的本事更大了。","故事365·神话",""
"盘古开天辟地（盘古开天地）","","","传说盘古没有爹，也没有娘。他是在一个混混沌沌的大蛋里生出来的。⏎盘古在这个大蛋里睡了一万八千年才孕育成人。盘古醒了过来以后心里憋闷得慌，拘在蛋里浑身像被绳子绑着一样不好受。他想活动筋骨，胳膊一伸，腿脚一蹬，“咔嚓”一声，大蛋就被蹬碎啦。⏎盘古睁开眼睛一看，上下左右，黑糊糊的一团，四面八方没有一点儿亮光，啥也看不见。盘古一急，抡起拳头就砸，抬起脚就踢。⏎盘古的胳膊脚又粗又大，像铁打的一样。他这一踢一打不要紧，凝聚了一万八千年的混沌黑暗，都给踢打得稀里哗啦乱动起来。三晃荡，两晃荡，紧紧缠住盘古的混沌黑暗，轻的东西就慢慢地飘动起来，变成了蓝天；重的慢慢下降，变成了大地。天和地裂开了一条缝。⏎天地一分开，盘古觉得舒坦多了。他长长地透了口气，就一骨碌坐了起来。可是天地缝太小啦，天在上边压着他的头，地在下边挤着他的屁股，站不起来。⏎盘古怕天地再合起来，就手撑天，脚蹬地，猛一使劲儿，又把天地撑开了一截。盘古站直了，身子一天长一丈，天地也一天离开一丈。又过去了一万八千年，盘古长成了一个高九万里的巨人，天地也被他撑开了九万里。后来人们就把九万里高天叫“九重天”了。⏎盘古开天辟地，耗尽了心血，流尽了汗水，天地分好后不久就累死啦。盘古心眼儿好，临死前心里还想着：光有蓝天、大地不行，还得在天地间造好日月山川、人类万物。可是他已经累倒了，再不能亲手造这些了。最后，他说了一句：“把我的身体留给世间吧。”就死啦。⏎说也奇怪，盘古死后，他的左眼真的变成了又圆又大又明亮的太阳，高挂天上，日日给大地送暖；右眼变成了明光光的月亮，夜夜给大地照明。他睁眼时，月儿是圆的；眨眼时，成了月牙儿。⏎他的头发、胡子，变成了密密麻麻的星星，撒满蓝天，伴着月亮走，跟着月亮行。⏎他嘴里呼出来的气，变成了春风、云雾，使得万物生长。他的声音，变成雷霆闪电。他身上的肉，变成了土地，筋脉变成了道路。他的手足四肢，变成了高山峻岭，骨头牙齿变成埋藏在地下的金银铜铁、玉石宝藏。他的血液，变成滚滚的江河，汗水变成了雨露。他的汗毛，变成花草树木。他的灵魂，变成了人畜鸟兽鱼虫。⏎从此，天上有了日月星辰，地上有了山川树木、人畜鸟兽。人们管理着万物，天地间从此有了世界。⏎｜日月出山｜女娲补天｜","故事365·神话",""
"十二生肖的故事（动物渡河比赛）","","","很久很久以前，人们总是忘记自己出生在哪一年，也算不清自己究竟几岁。⏎玉皇大帝想了一个办法：记年份太难，记动物的名字就简单多了。找出十二种动物来代表年份，不就行了吗？⏎玉皇大帝通知土地公，叫他去发布选拔十二生肖的消息。⏎十二生肖渡河比赛：欢迎动物们参加渡河比赛，前十二名到达终点的动物，可以成为十二生肖。⏎玉皇大帝⏎消息公布以后，所有的动物都很兴奋，大家闹哄哄地讨论渡河比赛的事。⏎当时，猫和老鼠是很好的朋友，他们聚在一起讨论。老鼠说：“我们不会游泳，要怎么渡河呢？”猫说：“可以跟牛合作，我们帮他指路，他载我们渡河。”⏎猫和老鼠去找牛，牛立刻答应了。⏎玉皇大帝⏎到了比赛当天，一天清早，公鸡都还没睡醒，牛、猫和老鼠已经来到河边。⏎牛蹲下来，让猫和老鼠爬上他的背，然后开始渡河。猫平常就爱打瞌睡，今天又太早起来，很快就趴在牛背上睡着了。⏎玉皇大帝⏎老鼠很想得第一名，就在牛快要抵达河岸的时候，他突然就把猫推下水，然后钻进牛耳朵里。牛并不知道发生了什么事，只听到老鼠在他耳朵里喊着：“牛大哥，加油！我们快到了。”⏎牛爬上对岸，高兴地冲向终点。⏎老鼠突然从牛耳朵里跳出来，抢先抵达终点，得到第一名。⏎牛辛苦了半天，只得到第二名，非常生气，从此就一直瞪着大眼睛。⏎玉皇大帝⏎过了一会儿，全身湿淋淋的老虎来了，他很有自信地吼着：“我第一名吧？”玉皇大帝说：“不！你得第三名。”⏎玉皇大帝⏎突然间，天空卷起一阵狂风，龙从天而降，眼看就要抵达终点，兔子冲过来，抢先得到第四名。兔子不会游泳，一路跳呀跳，踩着别人的背渡河。⏎玉皇大帝问龙：“怎么这么晚才到呢？”原来，龙去遥远的南海主持下雨典礼，赶回来，已经来不及了。⏎玉皇大帝⏎马蹄声传来，尘土飞满天。马跑在最前面，正要冲向终点，蛇突然从草丛里钻出来，抢先得到第六名。⏎蛇本来有脚，这次跑得太卖力，把脚都跑断了。马本来很勇敢，这次被蛇吓到，从此变得很胆小。⏎玉皇大帝⏎羊、猴和鸡在河边捡到一根木头，大家通力合作，得到八、九、十名。⏎羊坐在前面指路，因为看得太用力，变成一个大近视。猴子在木头上坐太久，屁股又红又肿。鸡本来有四只脚，上岸的时候给压断了两只，所以现在只剩两只脚。⏎玉皇大帝⏎狗来了。他很贪玩，渡河的时候，居然泡在河里玩水，耽误了时间。⏎玉皇大帝⏎十二生肖只剩下一个名额，大家伸长脖子望着前方。猪来了，他满头大汗，喘着气说：“饿死我了，这里有没有好吃的东西？”⏎比赛结束，玉皇大帝宣布了十二生肖的名次。⏎玉皇大帝⏎这时，湿淋淋的猫来了，他问：“我第几名 ？”玉皇大帝说：“第十三名。”⏎猫非常生气，每根胡须都翘起来，他说：“可恶的老鼠！我绝不饶你！” 说完，挥爪向老鼠扑过去。老鼠吓得吱吱叫，往玉皇大帝的椅子下钻，可还是被猫打了一巴掌，牙齿都被打掉了。⏎老鼠虽然得到第一名，从此每天提心吊胆，怕猫找他报仇；直到今天，老鼠看到猫的影子，就没命地跑，连大白天也躲在洞里不敢出来。⏎玉皇大帝","故事365·神话",""
"精卫填海（改写）","","","西边有一座山叫发鸠[jiū]山，这个奇怪名字的山上，还有个美丽的故事传说。⏎发鸠山上的树林里住着许多鸟儿，有一只小鸟，叫“精卫”。⏎“精卫”雪白的嘴巴，火红的爪子，头上顶着美丽的花纹，像一个戴着漂亮帽子的小女孩。⏎当其他的鸟儿们唱着快乐的歌儿时，“精卫”却悲伤地叫着：“精卫！精卫！”⏎当其他鸟儿在枝头开心跳舞时，“精卫”却叼着小石子、小树枝往东边的大海飞去。⏎“精卫”为什么那么伤心地叫自己的名字？她还有双胞胎姐妹也叫“精卫”吗？⏎“精卫”为什么把小石子、小树枝扔到海里？难道她喜欢玩这种游戏吗？⏎原来，“精卫”叫的“精卫”，不是一只鸟儿名字，是一位漂亮的小姑娘的名字。⏎这个叫精卫的小姑娘是太阳神炎帝的女儿，炎帝很疼爱她。可是，炎帝每天都很忙。早上，他到东海去指挥太阳从东方升起来，一直等到太阳从西边落下去时，他才能回家。⏎爸爸不在家，精卫只好自己玩。⏎一天早上，精卫穿着一双小红鞋，跑到田野里，看见路边美丽的小花，停下来，摘了一朵插在头上，然后望着火红的太阳，从东方慢慢升起，开心极了。⏎阳光下，万物生长着，鸟兽欢腾着。精卫看着这一切，她感到很自豪，因为大地的光明和温暖是她爸爸带来的。⏎晚上，爸爸回来了。精卫央求爸爸带她到东海边去看日出，爸爸答应了。⏎东海边上，精卫看到太阳从海面上“簇”地一下跳出来，精卫也高兴地跳了起来。⏎“爸爸，海那边是什么，我可以去那里玩吗？”⏎“大海的那边是太阳升起来的地方。”炎帝说：“那地方很热很热，小孩子是不可以去那里玩的。”⏎但那美丽、神秘的地方吸引了精卫。等爸爸走后，她自己坐一条小船，朝东海，向太阳升起的地方划出。⏎精卫小小的船，在宽阔无比的东海上划呀划，一阵像大山一样高的风浪袭来，把精卫的小船掀个底朝天。⏎精卫的身体沉入了东海，她的灵魂化作小鸟飞上天。⏎精卫鸟，是一只长着雪白的嘴巴，火红的爪子，脑袋上有美丽的花纹的小鸟。⏎变成小鸟的精卫，没有忘记她是被大海淹没的，她发誓要填平东海，不让东海以后再淹没其他的年轻人！⏎精卫鸟一刻不停地衔来小石子和小树枝，往东海扔。⏎一天又一天过去了，东海还是没有被填平，东海嘲笑精卫说：“小鸟，你就算填上一百万年，也填不平我的。”⏎精卫不理睬东海的嘲笑，想到会更多年轻人会被大海淹没的，她在心说，就算再辛苦一千万年，她也要坚持下去。长大了的“精卫”与海燕结婚，它们的女儿像精卫，儿子像海燕，小精卫们继续像她的妈妈一样填海。⏎瞧，即使遇到狂风暴雨，小海燕们还在风雨中穿行，小精卫还朝海面飞去。⏎发鸠山上的树林里住着许多鸟儿，有一只小鸟，叫“精卫”。⏎“精卫”雪白的嘴巴，火红的爪子","故事365·神话",""
"女娲补天的的故事","","","我国古史神话传说中，有一位女神，她叫女娲。女娲是一位善良的神，她为人类做过许多好事。比如说她曾教给人们婚姻，还给人类造了一种叫笙簧的乐器。而使人们最为感动的，是女娲补天的故事。⏎传说当人类繁衍起来后，忽然水神共工和火神祝融打起仗来，他们从天上一直打到地下，闹得到处不宁，结果祝融打胜了，但败了的共工不服，一怒之下，把头撞向不周山。不周山崩裂了，撑支天地之间的大柱断折了，天倒下了半边，出现了一个大窟窿，地也陷成一道道大裂纹，山林烧起了大火，洪水从地底下喷涌出来，龙蛇猛兽也出来吞食人民。人类面临着空前大灾难。⏎女娲目睹人类遭到如此奇祸，感到无比痛苦，于是决心补天，以终止这场灾难。她选用各种各样的五色石子，架起火将它们熔化成浆，用这种石浆将残缺的天窟窿填好，随后又斩下一只大龟的四脚，当作四根柱子把倒塌的半边天支起来。女娲还擒杀了残害人民的黑龙，刹住了龙蛇的嚣张气焰。最后为了堵住洪水不再漫流，女娲还收集了大量芦草，把它们烧成灰，埋塞向四处铺开的洪流。⏎经过女娲一番辛劳整治，苍天总算补上了，地填平了，水止住了，龙蛇猛兽佥欠迹了，人民又重新过着安乐的生活。但是这场特大的灾祸毕竟留下了痕迹。从此天还是有些向西北倾斜，因此太阳、月亮和众星晨都很自然地归向西方，又因为地向东南倾斜，所以一切江河都往那里汇流。⏎欢迎分享⏎分享","故事365·神话",""
"嫦娥奔月","","","相传，远古时候有一年，天上出现了十个太阳，直烤得大地冒烟，海水枯干，老百姓眼看无法再生活去。⏎这件事惊动了一个名叫后羿的英雄，他登上昆仑山顶，运足神力，拉开神弓，一气射下九个多余的太阳。⏎后羿立下盖世神功，受到百姓 的尊敬和爱戴，不少志士慕名前来投师学艺。奸诈刁钻、心术不正的蓬蒙也混了进来。⏎不久，后羿娶了个美丽善良的 妻子，名叫嫦娥。后羿除传艺狩猎外，终日和妻子在一起，人们都羡慕这对郎才女貌的恩爱夫妻。⏎一天，后羿到昆仑山访友求道，巧遇由此经过的王母娘娘，便向王母求得一包仙药。据说，服下此药，能即刻升天成仙。⏎然而，后羿舍不得撇下妻子，只好暂时把仙药交给嫦娥珍藏。嫦娥将药藏进梳妆台的百宝匣里，不料被蓬蒙看到了。⏎三天后，后羿率众徒外出狩猎，心怀鬼胎的蓬蒙假装生病，留了下来。⏎待后羿率众人走后不久，蓬蒙手持宝剑闯入内宅后院，威逼嫦娥交出仙药。⏎嫦娥知道自己不是蓬蒙的对手，危急之时她当机立断，转身打开百宝匣，拿出仙药一口吞了下去。⏎嫦娥吞下药，身子立时飘离地面、冲出窗口，向天上飞去。由于嫦娥牵挂着丈夫，便飞落到离人间最近的月亮上成了仙。⏎傍晚，后羿回到家，侍女们哭诉了白天发生的事。后羿既惊又怒，抽剑去杀恶徒，蓬蒙早逃走了。气得后羿捶胸顿足哇哇大叫。悲痛欲绝的后羿，仰望着夜空呼唤爱妻的名字。这时他惊奇地发现，今天的月亮格外皎洁明亮，而且有个晃动的身影酷似嫦娥。⏎后羿急忙派人到嫦娥喜爱的后花园里，摆上香案，放上她平时最爱吃的蜜食鲜果，遥祭在月宫里眷恋着自己的嫦娥。⏎百姓们闻知嫦娥奔月成仙的消息后，纷纷在月圆之夜摆设香案，向善良的嫦娥祈求吉祥平安。⏎天帝也被嫦娥和后羿这种为了乡亲们的幸福而牺牲自己的精神感动了，后来，便封后羿为天将，于中秋佳节日使二人重逢团圆。⏎从此，嫦娥和后羿在天上过上了幸福美满的生活。⏎欢迎分享⏎分享","故事365·神话",""
