"题目","朝代","作者","内容","来源","词牌"
"女孩别为我哭泣","","周杰伦","世界是安逸的摇篮曲⏎我坚持男子汉的步履⏎用钢铁般的意志杀敌⏎用月色下的柔情爱你⏎男子汉不玩娘娘腔的游戏⏎生活象是软趴趴的风景⏎男人要有硬邦邦的背影⏎用热血 灌溉 我的兄弟⏎而胸膛 留给 女孩哭泣⏎男子汉就是我 小心别爱上我⏎调整好男子汉的呼吸⏎拨一拨男子汉的发型⏎睁开我的眯眯眼睛⏎来一个甜甜的表情⏎男子汉用笑就能电到你⏎男子汉像山般的二头肌⏎男子汉像狼一般的孤寂⏎男子汉火辣辣的感情⏎男子汉暖呼呼的真心⏎男子汉就是我 小心别爱上我⏎男子汉就是我 你已经爱上我~","语料库",""
"荒芜中起舞","","卢凯彤","顺着时代的弧度 倒下来我们都欢呼⏎只要生活过得满足 不管吓跑小白兔⏎趁着热闹的电锯 傻起来我们不在乎⏎只要生活过得满足 就算太阳变得恶毒⏎想怎样 就怎样⏎砍掉一棵树 又另一棵树⏎荒芜中起舞⏎我们用一百棵树 写成一千张遗书⏎再盖一间埋葬人的屋⏎我们的种籽种出 眼前一片的幽谷⏎好让我们永远迷路⏎手舞足蹈  随着蝙蝠  跳到了尽处⏎疯狂的满足  疯狂了双目⏎想怎样 就怎样⏎砍掉一棵树 又另一棵树⏎荒芜中起舞 跳不完的舞⏎我们用一百棵树 写成一千张遗书⏎再盖一间埋葬人的屋⏎我们的种籽种出 眼前一片的幽谷⏎好让我们永远迷路⏎手舞足蹈  随着蝙蝠  跳到了尽处⏎疯狂的满足  疯狂了双目⏎永远在砍树 永远迷路","语料库",""
"摇篮曲","","香香","小宝贝快快睡⏎梦中会有我相随⏎陪你笑陪你累⏎有我相依偎⏎小宝贝快快睡⏎你会梦到我几回⏎有我在梦最美⏎梦醒也安慰⏎花儿随流水⏎日头抱春归⏎粉面含笑微不露⏎嘴角衔颗相思泪⏎山间鸟徘徊⏎彩霞伴双飞⏎惊鸿一蔑莫后退⏎离开也让春风醉⏎看蒙蒙的睡眼⏎有谁值得你留恋⏎同林鸟分飞雁⏎一切是梦魇⏎传说中神话里⏎梦中的我在梦你⏎神仙说 梦会醒⏎可是我不听⏎流水葬落花⏎更凭添牵挂⏎尝过相思百味苦⏎从此对情更邋遢⏎寒风催五谷⏎遥风到天涯⏎枯木也能发新芽⏎馨香播种摇篮下⏎La……⏎La……⏎La……⏎La……","语料库",""
"羊角辫的约定","","六六","还记得我们一起丢手绢⏎跳皮筋累的红了脸⏎拖着手一起回到我们的四合院⏎还笑着说明天再见⏎什么时候这些都改变⏎我们都去追寻各自的心愿⏎没有你的消息有多少年⏎那些青涩也都改变⏎还记得那时我们梳着羊角辫⏎打勾勾说做姐妹永永远远⏎不论我们身在哪一边⏎心都有彼此的陪伴⏎不让天真离开我们的世界⏎童年是永远存在心里的感觉⏎不论我们身在哪一边⏎心都有彼此的陪伴⏎不让天真离开我们的世界⏎童年是永远存在心里的感觉","语料库",""
"我只想要音乐","","南征北战","每当我出现 注定是全场的焦点⏎我气场无限 比灯光更耀眼⏎跟随这节奏 每个人自觉地拍手⏎嘿宝贝别走 尽管跳舞不要害羞⏎烦恼都抛开 加入这狂欢的盛宴⏎尽情地摇摆 诱惑就在身边⏎天真的小孩 闭上你纯洁的双眼⏎时间已到来 一场好戏即将上演⏎我只想要音乐 自由的感觉⏎在午夜之间寻找安慰⏎脚步变得狂野 整夜都无眠⏎放纵的心也嗨到了顶点⏎跟昨天说再见 跳舞不停歇⏎热情点燃零点的派对⏎音量再大一些 爱得更轰烈⏎最潮的声音串烧着经典⏎将气氛推向了极点⏎听那低音的轰隆震耳欲聋⏎看爬梯上的动物那么激动⏎如果你是honey 我是小蜜蜂⏎他们叫我男神就像王力宏⏎黑白颠倒 我是夜生活的皇帝⏎去的都是人气爆棚的场地⏎人们太过兴奋需要打氧气⏎冰桶里的香槟是给我新欢的奖励⏎烦恼都抛开 加入这狂欢的盛宴⏎尽情地摇摆 诱惑就在身边⏎天真的小孩 闭上你纯洁的双眼⏎时间已到来 一场好戏即将上演⏎我只想要音乐 自由的感觉⏎在午夜之间寻找安慰⏎脚步变得狂野 整夜都无眠⏎放纵的心也嗨到了顶点⏎跟昨天说再见 跳舞不停歇⏎热情点燃零点的派对⏎音量再大一些 爱得更轰烈⏎最潮的声音串烧着经典⏎将气氛推向了极点","语料库",""
"你来自何方","","许景淳","你来自何方你去向何处⏎我来自寒冷我寻找温暖⏎你来自何方你去向何处⏎我来自心伤我寻找安慰⏎我来自寒冷我寻找温暖⏎我来自心伤我寻找安慰⏎你来自何方你去向何处⏎我来自孤独我寻找朋友⏎你来自何方你去向何处⏎我来自传说我寻找爱情⏎我来自孤独我寻找朋友⏎我来自传说我寻找爱情⏎我来自昨天我寻找明天⏎我来自黑夜我寻找阳光⏎你来自何方你去向何处⏎我来自人间我寻找真理⏎你来自何方你去向何处⏎我来自美丽⏎我寻找永恒","语料库",""
"雾之恋_(live)_-_live","","左麟右李","天边一颗闪星星⏎海边一颗小星星⏎或睡或现 闪烁不停⏎似要悄悄告诉这世界⏎现实实在是幻象 你要看始终看不清⏎海边一颗小星星天边一颗小星星⏎默默静卧着闪烁不停⏎似要暗暗告诉我与你⏎爱意也会象雾幻转眼间会失去⏎你会说你爱我永远永远爱我⏎默默落着泪永不改变⏎似怕我要说再见⏎我怕终于一天再也不 不会再想你⏎如雾起暗暗盖掩身边你⏎象雾里面前幻化不定⏎无法记起以往那刻你怎闯进我心里⏎还是爱着你曾话爱着你你永在我心⏎每次我望真你每次我望着你⏎你那眼光中也都带泪⏎每次我望着你每次我望着你⏎你那眼中都有我⏎如雾起暗暗盖掩身边你⏎象雾里面前幻化不定⏎无法记起以往那刻你怎闯进我心里⏎每次我望真你每次我望着你⏎你那眼光中也都带泪⏎每次我望真你每次我望着你⏎你那眼中都有我","语料库",""
"小燕子","","古璇","小燕子，穿花衣⏎年年春天来这里⏎我问燕子你为啥来⏎“这里的春天最美丽”⏎小燕子，告诉你⏎今年这里更美丽⏎我们盖起了大工厂⏎装上了新机器⏎长期住在这里⏎小燕子，穿花衣⏎年年春天来这里⏎我问燕子你为啥来⏎“这里的春天最美丽”⏎小燕子，告诉你⏎今年这里更美丽⏎我们盖起了大工厂⏎装上了新机器⏎欢迎你⏎长期住在这里⏎小燕子，告诉你⏎今年这里更美丽⏎我们盖起了大工厂⏎装上了新机器⏎欢迎你⏎长期住在这里","语料库",""
"依然爱你","","巫启贤","一闪一闪亮晶晶留下岁月的痕迹⏎我的世界的中心依然还是你⏎一年一年又一年飞逝仅在一转眼⏎唯一永远不改变是不停地改变⏎我不像从前的自己你也有点不像你⏎但在我眼中你的笑依然的美丽⏎日子只能往前走一个方向顺时钟⏎不知道爱有多久所以要让你懂⏎我依然爱你就是唯一的退路⏎我依然珍惜时时刻刻的幸福⏎你每个呼吸每个动作每个表情⏎到最后一定会依然爱你⏎（依然爱你...）⏎我不像以前的自己你也有点不像你⏎但在我眼中你的笑依然的美丽⏎日子只能往前走一个方向顺时钟⏎不知道爱有多久所以要让你懂⏎我依然爱你就是唯一的退路⏎我依然珍惜时时刻刻的幸福⏎你每个呼吸每个动作每个表情⏎到最后一定会依然爱你⏎（依然爱你...）⏎我依然爱你或许是命中注定⏎多年之后任何人都无法代替⏎那些时光是我这一辈子最美好的⏎那些回忆依然无法忘记⏎我依然爱你就是唯一的退路⏎我依然珍惜时时刻刻的幸福⏎你每个呼吸每个动作每个表情⏎到最后一定会依然爱你⏎你每个呼吸每个动作每个表情⏎到永远一定会依然爱你","语料库",""
"他值得","","品冠","他不会讲好听的⏎至少他是诚实的⏎你抱怨他爱找朋友⏎但你没看过⏎他聊到你多快乐⏎爱就像长途旅行太早放弃⏎会错过很多的美景⏎OH你爱的⏎不是不疼你的⏎不是不懂你的⏎用力想开一点会值得⏎OH你爱的⏎不是好的情人⏎却是好的男人⏎不要觉得别人的情人⏎才是好的⏎每次刚吵完一架⏎就后悔了⏎不是爱情是什么⏎朋友夸他对你不错⏎当你说哪有⏎内心不都甜甜的⏎把冷战停了写封心情给他⏎逞强放弃真爱多傻⏎OH你爱的⏎其实最聪明了⏎追你不追别的⏎偶尔让他一下会值得⏎OH你爱的⏎是个想未来的⏎是有责任感的⏎虽然不帅可是很多人⏎等着抢的⏎OH你爱的⏎不是不疼你的⏎不是不懂你的⏎用力想开一点会值得⏎OH你爱的⏎不是好的情人⏎却是好的男人⏎不要觉得别人的情人⏎才是好的","语料库",""
