"题目","朝代","作者","内容","来源","词牌"
"双人床的空位","","周柏豪","缠绵到似缠绵他不爱你⏎你总要爱体面无言笑对无言⏎你不怕厌怕单身过这天结局没机会逃避⏎难道有胆做戏留住血肉躯壳⏎仍不放弃你硬要把身影抱起⏎填补双人床的空位可会令你失眠时不失礼⏎你为赢下眼前人苦苦献世何不将他高姿态放低⏎有本事伪装安慰总有办法离开他都矜贵⏎强扮爱和被爱不会变上帝⏎为何要怕凌晨四野无人会失去你身份⏎为何要靠旁人那一个吻去装饰你体温⏎结局没机会逃避难道有胆做戏⏎留住血肉躯壳仍不放弃你硬要把身影抱起⏎填补双人床的空位可会令你失眠时不失礼⏎你为赢下眼前人苦苦献世何不将他高姿态放低⏎有本事伪装安慰总有办法离开他都矜贵⏎强扮爱和被爱不会变上帝⏎无需苦恋赠庆你输得起不必好胜谁靠伴侣做布景⏎请不要害怕双人床的空位可以做到不求人不失礼⏎眼泪难道有人陪便没枉费何不将他高姿态放低⏎有本事伪装安慰总有办法离开他都矜贵⏎有没有人伴你都当你上帝你独个成就你值得他敬礼","语料库",""
"金","","周柏豪","明知非洲总缺乏救援⏎明知中东枪炮满天⏎这刻竟然尚有光彩感觉⏎凭新鲜的衣着自满⏎从小爸妈总爱护我们⏎如今温室只有更多⏎很想一同学会牺牲小我⏎凭这新的英勇自满⏎谁看见金色粉末飞洒于世界⏎邻近或散在远方几多英雄受过了拥戴⏎沿着你奔向梦想的轨迹⏎将你自我细碎分解⏎总要活过一场才知好歹⏎同一天空不会没有人⏎迷彩今天可以带走⏎分享的人便有金光闪烁⏎如谦虚的天国渐近⏎谁看见金色粉末飞洒于世界⏎邻近或散在远方几多英雄受过了拥戴⏎沿着你奔向梦想的轨迹⏎将你自我细碎分解⏎总要活过一场才知好歹⏎人变作金色粉末多么的畅快⏎完成大我地发光身边的人便见怪不怪⏎随着你不顾自己的输出⏎使冷或暖永远分解⏎总要活过一场才知好歹⏎粉末做了一天 黄金丝带","语料库",""
"你去投军十八春(1942年胜利公司唱片2面)","","马连良","你去投军十八春⏎妻在寒窑受苦情⏎今日等来我明日也等⏎（白）我就回来了⏎（白）薛郎啊⏎等你回来我好做夫人⏎（白）啊⏎一见柳氏面带春⏎莫非暗地有情人⏎出得窑门观动静⏎（白）啊⏎四下并无一个人⏎将马拴在柳林地⏎二次进窑细留神⏎东张西望来观定⏎（白）啊⏎这只男鞋必有因⏎（白）且住啊⏎想我离家一十八载⏎这只男鞋是哪里来的⏎哦呵呵  是了⏎方才见柳氏情意不正  定有私通⏎有了  我不免将她唤将出来⏎用剑将她杀死  就是这个主意⏎柳氏与我走了出来呀⏎听罢言来吓掉了魂⏎丁山  我儿  儿啊⏎（白）哎  我是儿子他的娘啊⏎冷水浇头怀抱冰⏎适才打马汾河境⏎见一顽童显奇能⏎（白）那就是你我的儿子⏎弹打南来当头雁⏎枪挑鱼儿水浪分⏎（白）他少时就要回来了⏎（白）他不回来了⏎本当对她来言定⏎又恐惊坏这受苦的人⏎（白）薛郎啊⏎你说了半日为妻也不得明白⏎（白）哎呀  妻啊⏎你有所不知⏎适才行在汾河湾⏎见一顽童在那里打雁⏎忽然来了一只猛虎⏎又恐伤坏娃娃⏎是我用袖箭误将他射死了⏎（白）哎呀⏎听说娇儿丧了命⏎丁山 我儿 儿啊⏎（白）诶  我是儿子他的爸爸呀。⏎（白）喂呀⏎冷水浇头我怀抱冰⏎我儿与你何仇恨⏎因何害他的命残生⏎（白）罢","语料库",""
"情场如战场","","冷漠","情场如战场⏎有人炽热疯狂 有人欲盖弥彰⏎只因一个情字 道尽多少荒唐⏎可惜地久天长 从来痴心妄想⏎等到感情走样 又拿什么补偿⏎有人铁石心肠 有人以柔克刚⏎难为一个爱字 情节总是跌宕⏎纵然全副武装 终究防不胜防⏎只为一点相思 此生念念不忘⏎人们都说情场如战场⏎两军相争总是胜者为王⏎机关算尽难免两败俱伤⏎物是人非只留几多感叹⏎既然都说情场如战场⏎谁嬴谁输其实又有何妨⏎两情相悦何苦寸步不让⏎沧海桑田与你甘苦共尝⏎有人铁石心肠 有人以柔克刚⏎难为一个爱字 情节总是跌宕⏎纵然全副武装 终究防不胜防⏎只为一点相思 此生念念不忘⏎人们都说情场如战场⏎两军相争总是胜者为王⏎机关算尽难免两败俱伤⏎物是人非只留几多感叹⏎既然都说情场如战场⏎谁嬴谁输其实又有何妨⏎两情相悦何苦寸步不让⏎沧海桑田与你甘苦共尝⏎沧海桑田与你甘苦共尝⏎喜波⏎赵小兵","语料库",""
"mc深七 - 梦回当年古战场","","Mc深七","梦回当年古战场 一身傲骨被模仿⏎帝王血  在流淌 塑造不败封神榜⏎封神榜  留我名 漫天飞雪随风停⏎谁还记得当年情 楼兰古城我一人行⏎当年情  难在续 落叶飞花随风去⏎绝情诗  离别句 留给后人来回忆⏎回忆我  回忆你 回忆曾经的知己⏎回忆我们风云再起提起那根诛仙笔⏎诛仙笔  画沧桑 想起曾经的时光⏎那时的我满身伤也不会扔掉紫金枪⏎紫金枪  破轮回 一生与你命相随⏎就算千军把我围 也要敲响惊天雷⏎惊天雷  动九州 一统乱世霸春秋⏎将军傲骨怎能收 祭出这把离别钩⏎离别钩  破天现 天马行空踏飞燕⏎这一战他妈无眷恋 只为这把轩辕剑⏎轩辕剑  战群魔 剑挑长空渡奈何⏎最后一战生死博 江山霸主谁敢夺⏎万丈江山可不要 仰天呐喊一声笑⏎就算放下一身骄傲 也要改写这王道⏎这条王道尸骨堆  曾经的你何时归⏎三军任由我指挥 凤凰展翅逆天飞⏎火凤飞  蛟龙游  这一生我无所求⏎龙吟剑我斩王侯 帅兵北伐皇城楼⏎皇城外  冷风呼  征战疆场不服输⏎猛虎归山苍龙出 浴血奋战夺皇都","语料库",""
"那年军旅梦","","Mc深七","经常听老人说 当兵后悔两年⏎不当兵后悔一辈子⏎那年的军旅梦 那年的一身戎装⏎大家好 我是Mc深七 这首歌 那年军旅梦⏎送给那些后悔两年的兄弟⏎那一年我离家乡 踏上火车去远方⏎参军入伍把兵当 那身披军装扛起枪⏎走进部队的营房 放下年少的轻狂⏎战友之间情谊长 那捍卫祖国的边防⏎汗水打湿我军装 为了训练受过伤⏎也曾思念我家乡 那也曾夜里泪汪汪⏎所有委屈自己抗 心酸委屈自己尝⏎肩上军衔放光芒 那为了祖国的辉煌⏎都说参军特别苦 拿我青春保国土⏎踏过千难和万阻 那一首另类为你谱⏎思念家乡愁断肠 军中男儿当自强⏎雄鹰展翅要飞翔 那战功显赫把名扬⏎就要退伍回家乡 告别战友把泪扬⏎热气腾腾的营房 那多少往事心里藏⏎五湖四海的兄弟 这段感情我铭记⏎待到他日再相聚 那再把昔日友情续⏎我的那个老班长 多少风雨为我挡⏎眼中热泪在流淌 那念你宽厚的肩膀⏎离开部队那一刻 我的眼泪邑掉落⏎红旗下许的承诺 记得曾经我来过⏎红旗下许的承诺 记得这个地方曾经我来过","语料库",""
"mc深七-那年军旅梦","","Mc深七","916486057⏎那一年我离家乡 踏上火车去远方 参军入伍把兵当 那身披军装扛起枪⏎走进部队的营房 放下年少的轻狂 战友之间情谊长 那捍卫祖国的边防⏎汗水打湿我军装 为了训练受过伤 也曾思念我家乡 那也曾夜里泪汪汪⏎所有委屈自己抗 心酸委屈自己尝 肩上军衔放光芒 那为了祖国的辉煌⏎都说参军特别苦 拿我青春保国土 踏过千难和万阻 那一首另类为你谱⏎思念家乡愁断肠 军中男儿当自强 雄鹰展翅要飞翔 那战功显赫把名扬⏎就要退伍回家乡 告别战友把泪扬 热气腾腾的营房 那多少往事心里藏⏎五湖四海的兄弟 这段感情我铭记 待到他日再相聚 那再把昔日友情续⏎我的那个老班长 多少风雨为我挡 眼中热泪在流淌 那念你宽厚的肩膀⏎离开部队那一刻 我的眼泪邑掉落 红旗下许的承诺 记得曾经我来过","语料库",""
"831战歌","","Mc深七","因为狂 所以傲⏎放弃I R做不到⏎王的感觉太闪耀⏎IR是你的依靠⏎我们一直在努力⏎放弃所有名和利⏎兄弟之情心中记⏎为了IR不放弃⏎苍龙起身冲天怒⏎IR大旗我背负⏎这分情 我眷顾⏎IR工会我守护⏎千军万马不惧怕⏎谱写YY这神话⏎屠杀战马走天下⏎它的名字叫IR⏎夺江山 踏天地⏎兄弟之情心中记⏎有你陪伴如虎添翼⏎创造YY新天地⏎战YY 把天掀⏎寒风崛起千层山⏎血染YY半边天⏎IR站在最顶尖⏎鞠躬尽瘁为一人⏎王者路我舔英魂⏎踏入IR王者门⏎我们大哥叫一人⏎太多心里话想说⏎霸气另类无人遮⏎引领YY这传说⏎王者当属一人哥⏎我们ID831⏎不服礼物飘一飘⏎那些怒气心中烧⏎谁敢跟我们叫嚣⏎激情喊麦345⏎猛虎似狼又似虎⏎前方道路无人阻⏎打起YY这战鼓⏎酱油王者478⏎兄弟为它把命搭⏎为了IR这个家⏎有你有我还有他⏎战为IR一条心⏎兄弟携手共打拼⏎誓死拼搏到如今⏎统领身后哲家军⏎一人创造这传说⏎霸气一声起风波⏎为了IR把命搏⏎谁人阻挡这战歌⏎831四个6⏎酱油有你更优秀⏎兄弟打着666⏎他的名字叫天佑⏎内心人潮似古胆⏎誓死拼搏谁人管⏎精神病 在呐喊⏎另类王子小敏感⏎喊麦气势太雄伟⏎一路从南喊到北⏎加入IR不后悔⏎MC王者是大嘴⏎昔日江湖谁领队⏎纵马一生太疲惫⏎兄弟情 真可贵⏎银狐此生陪你醉⏎一世英名传千年⏎冲冠一怒为红颜⏎霸气威武似当年⏎五项疯子王小源⏎辅佐一人战天下⏎踏平YY不惧怕⏎丝袜美腿大长发⏎国色天香小夏夏⏎兄弟情 用心担⏎道义二字记心间⏎此生常伴在你身边⏎IR疯狗是雨轩⏎IR大旗空中飘⏎四海翻腾起浪涛⏎纵横YY看今朝⏎王者尽在831","语料库",""
"因为他们叫军人","","Mc深七","异在他乡好几年⏎岁月腐蚀了容颜⏎多想回到家人面前⏎谈谈部队这几年⏎几年前的那一天⏎离开家人的身边⏎一路上我不断想家⏎抽了太多的香烟⏎因为心里有牵挂⏎太多的人放不下⏎军人路途脚下踏⏎只为报国传佳话⏎背着行囊离开家⏎穿上军装带军花⏎爸妈都把你来夸⏎以后不会辜负他⏎那是一种特殊精神⏎我们人民的楷模⏎不怕委屈不怕挫折⏎做好事业保卫国⏎穿上军装进了部队⏎不说两字是后退⏎哪怕累到要下跪⏎也要说着无所谓⏎那是一种特殊信仰⏎我们人民的肩膀⏎对待人民性格开朗⏎无论灾区和战场⏎进了部队懂了责任⏎扛起每一分重任⏎不要去说谁好谁笨⏎主要看你的勤奋⏎那是一种特殊作风⏎我们人民的心声⏎遇到困难一声不吭⏎不会因事去纷争⏎训练营里多少苦⏎只有试试才清楚⏎自己敲响前进战鼓⏎这次不过继续补⏎那是一种特殊灵魂⏎我们人民的战神⏎不怕牺牲不怕伤痕⏎因为他们叫军人⏎部队战友这份感情⏎仅次父母养育情⏎一起走过风风雨雨⏎一路坎坷都扫平⏎那是一种特殊职业⏎我们对他都亲切⏎爱国之心永不言灭⏎军人所做的一切⏎你们永远是最真⏎帅气军装穿在身⏎为了职业命都敢舍⏎人民给你们满分⏎你们永远是最棒⏎一颗真心变滚烫⏎这首另类放在心上⏎歌颂你们的模样","语料库",""
"美少女战士","","汤宝如","飞身到天边为这世界一战⏎红日在夜空天际出现⏎抛出救生圈雾里舞我的剑⏎邪道外魔星际飞闪⏎你你你快跪下⏎看我引弓千里箭⏎你你你快跪下⏎勿要我放出了魔毯⏎你你你快跪下⏎勿要我手握天血剑⏎你你你快跪下⏎狂风扫落雷电⏎美少女转身变⏎已变成战士⏎以爱凝聚力量救世人跳出生天⏎身体套光圈合上两眼都见⏎明亮像佛光天际初现⏎虽诡计多端但美少女一变⏎邪道外魔都企一边⏎你你你快跪下⏎看我引弓千里箭⏎你你你快跪下⏎勿要我放出了魔毯⏎你你你快跪下⏎勿要我手握天血剑⏎你你你快跪下⏎狂风扫落雷电⏎美少女转身变⏎已变成战士⏎以爱凝聚力量救世人跳出生天⏎身体套光圈合上两眼都见⏎明亮像佛光天际初现⏎虽诡计多端但美少女一变⏎邪道外魔都企一边⏎美少女转身变⏎已变成战士⏎以爱凝聚力量救世人跳出生天⏎飞身到天边为这世界一战⏎红日在夜空天际出现⏎抛出救生圈雾里舞我的剑⏎邪道外魔星际飞闪⏎身体套光圈合上两眼都见⏎明亮像佛光天际初现⏎虽诡计多端但美少女一变⏎邪道外魔都企一边","语料库",""
