"题目","朝代","作者","内容","来源","词牌"
"夜曲","","周杰伦","一群嗜血的蚂蚁 被腐肉所吸引⏎我面无表情 看孤独的风景⏎失去你 爱恨开始分明⏎失去你 还有什么事好关心⏎当鸽子不再象征和平⏎我终于被提醒⏎广场上喂食的是秃鹰⏎我用漂亮的押韵⏎形容被掠夺一空的爱情⏎啊 乌云开始遮蔽 夜色不干净⏎公园里 葬礼的回音 在漫天飞行⏎送你的 白色玫瑰⏎在纯黑的环境凋零⏎乌鸦在树枝上诡异的很安静⏎静静听 我黑色的大衣⏎想温暖你 日渐冰冷的回忆⏎走过的 走过的 生命⏎啊 四周弥漫雾气⏎我在空旷的墓地⏎老去后还爱你⏎为你弹奏萧邦的夜曲⏎纪念我死去的爱情⏎跟夜风一样的声音⏎心碎的很好听⏎手在键盘敲很轻⏎我给的思念很小心⏎你埋葬的地方叫幽冥⏎为你弹奏萧邦的夜曲⏎纪念我死去的爱情⏎而我为你隐姓埋名⏎在月光下弹琴⏎对你心跳的感应⏎还是如此温热亲近⏎怀念你那鲜红的唇印⏎那些断翅的蜻蜓 散落在这森林⏎而我的眼睛 没有丝毫同情⏎失去你 泪水混浊不清⏎失去你 我连笑容都有阴影⏎风在长满青苔的屋顶⏎嘲笑我的伤心⏎像一口没有水的枯井⏎我用凄美的字型⏎描绘后悔莫及的那爱情⏎为你弹奏萧邦的夜曲⏎纪念我死去的爱情⏎跟夜风一样的声音⏎心碎的很好听⏎手在键盘敲很轻⏎我给的思念很小心⏎你埋葬的地方叫幽冥⏎为你弹奏萧邦的夜曲⏎纪念我死去的爱情⏎而我为你隐姓埋名 在月光下弹琴⏎对你心跳的感应 还是如此温热亲近⏎怀念你那鲜红的唇印⏎一群嗜血的蚂蚁 被腐肉所吸引⏎我面无表情 看孤独的风景⏎失去你 爱恨开始分明⏎失去你 还有什么事好关心⏎当鸽子不再象征和平⏎我终于被提醒⏎广场上喂食的是秃鹰⏎我用漂亮的押韵⏎形容被掠夺一空的爱情","语料库",""
"嘻哈空姐","","周杰伦","起落架离开地上⏎空姐亲切的讲⏎请我打开遮阳板⏎将安全带系上⏎接着问是否用餐⏎需不需要毛毯⏎而我沉睡在客舱⏎梦境在我正上方⏎她没有狐狸脸蛋⏎竟然可以这么耐看⏎发香 爱爱爱爱上⏎醒来在飞机上⏎座位还在晃 一半⏎她放慢脚步想我拼命想我去追上⏎我知道 因为我想⏎(她问我他问我Coffee tea or me)⏎我深深倒抽一口气⏎(我深深我深深倒抽一口气)⏎她身体摆动的频率⏎(她身体他身体摆动的频率)⏎让我几乎喘不过气⏎(让我几乎让我几乎喘不过气)⏎我点咖啡不加糖⏎正对着她品尝⏎那免税品的包装⏎诱人像她一样⏎我决定边走边唱⏎她的眼神渴望⏎充满暗示与想像⏎给予人一种挑战⏎梦游的初步阶段⏎我脑海播放了一段(形状)⏎幻幻幻幻想⏎醒来在走道上⏎随节奏在晃⏎闪亮 她一路翘臀推着那餐车⏎性感的模样⏎短裙的 弧度 漂亮⏎她问我Coffee tea or me⏎(她问我他问我Coffee tea or me)⏎我深深倒抽一口气⏎(我深深我深深倒抽一口气)⏎她身体摆动的频率⏎(她身体他身体摆动的频率)⏎让我几乎喘不过气⏎(让我几乎让我几乎喘不过气)⏎她问我Coffee tea or me⏎我张大眼睛在怀疑⏎厚嘴唇很有吸引力⏎我会不会瞬间麻痹","语料库",""
"我的地盘","","周杰伦","在我地盘这 你就得听我的⏎把音乐收割 用听觉找快乐⏎开始在雕刻 我个人的特色⏎未来难预测 坚持当下的选择⏎在我地盘这 你就得听我的⏎节奏在招惹 我跟街舞亲热⏎我灌溉原则 培养一种独特⏎观念不及格 其他全部是垃圾⏎用态度扩张地盘 到底什么意思⏎怎么一回事 广场的鸽子⏎占领头版的报纸⏎一种全新的解释⏎标题关于这座城市⏎关于一种学习考试⏎和年轻就该有的本事⏎动感地带的交通标志⏎到底离我有几公尺⏎我说老师⏎我是不是真的不懂事⏎听我念饶舌歌词⏎欣赏我打拳的样子⏎我站在教室 练拳方式⏎你的样子 线条一致⏎隔壁的小姑娘⏎公开表演需要勇气⏎别人玩线上游戏⏎我偏耍猴戏⏎我用形意猴拳在练习⏎引你注意⏎如果觉得有趣⏎不要吝啬 示个好意⏎青春是干净的纯白⏎像一片绿地的窗外⏎我将记忆的门打开⏎把所有发生的事记下来⏎在我地盘这 你就得听我的⏎把音乐收割 用听觉找快乐⏎开始在雕刻 我个人的特色⏎未来难预测 坚持当下的选择⏎在我地盘这 你就得听我的⏎节奏在招惹 我跟街舞亲热⏎我灌溉原则 培养一种独特⏎观念不及格 其他全部是垃圾⏎那弹钢琴的孩子⏎正用他们的手指⏎弹奏未来的历史⏎我用手机传中文字⏎那传输的速度⏎绝对会让你们竖起大拇指⏎生活不该有公式⏎我可以随性跳芭蕾舞⏎照节拍 手放开 静下来⏎像一只天鹅把脚尖掂起来⏎讲究速食的这年代⏎也可以很天真的说爱⏎在我地盘这 你就得听我的⏎把音乐收割 用听觉找快乐⏎开始在雕刻 我个人的特色⏎未来难预测 坚持当下的选择⏎在我地盘这 你就得听我的⏎节奏在招惹 我跟街舞亲热⏎我灌溉原则 培养一种独特⏎观念不及格 其他全部是垃圾⏎在我地盘这 你就得听我的⏎把音乐收割 用听觉找快乐⏎开始在雕刻 我个人的特色⏎未来难预测 坚持当下的选择⏎在我地盘这 你就得听我的⏎把音乐收割 用听觉找快乐⏎开始在雕刻 我个人的特色⏎未来难预测 坚持当下的选择⏎在我地盘这 你就得听我的⏎节奏在招惹 我跟街舞亲热⏎我灌溉原则 培养一种独特⏎观念不及格 其他全部是垃圾","语料库",""
"再生恋","","林忆莲","这一生给你 这一生给我⏎是否你愿意 前世情缘今生再继续⏎来和我继续前生的情吧⏎夜的呼唤在回响 带着我坠入梦乡⏎梦中的你还是像以前一样⏎未曾有过的轻狂 未曾有过的放荡⏎在这梦里只有你 让情恣放⏎梦醒已早已远离 枕边仍有你气息⏎时空交错的夜里 谁让情延续⏎这一生给你 这一生给我⏎是否你愿意 前世情缘今生再继续⏎我永远爱你这生信我吧 好吗⏎你是否明白今生心里话 说吧⏎(Feel Your Heart Beat)⏎是你唤起前世情缘 让我痴想⏎今世今生要你陪我到天长⏎这一生给你 这一生给我⏎这一生给你 这一生给我⏎是否你愿意 前世情缘今生再继续⏎来和我继续前生的情吧 爱吧⏎来和我陶醉今生的梦吧 恋吧⏎(Feel Your Heart Beat)","语料库",""
"mc深七-武神赵子龙","","Mc深七","自古乱世出英雄 我血染征袍透甲红⏎常山一战谁不从 那我乃常山赵子龙⏎手持百鸟朝凤枪 一生征战走四方⏎鲜血染红这衣裳 那只求天下能安康⏎一心只想平天下 万水千山脚下踏⏎只要主公一句话 那千军万马有何怕⏎脚步从来不曾停 因为天下没安宁⏎待我把这天下平 那谁愿与我并肩行⏎悲欢离合相思泪 还好遇见你刘备⏎助你打下这王位 那此生再没有惭愧⏎长坂坡上救阿斗 铤而走险渡虎口⏎赵子龙这一声吼 那百万雄师心颤抖⏎单骑救主名远杨 誓死守护他身旁⏎忠肝义胆的胸膛 那辅助刘备称帝王⏎孤战敌军千千万 护主之心永不变⏎舞动手中这把剑 那日月星辰天地颤⏎乱世自有才人出 还好有你刘皇叔⏎当我攻下这皇都 那天下小人皆已输⏎夜照玉 胯下骑 驰逞疆场无人敌⏎青红剑 手中提 定要拿下你首级⏎不管小人多艰险 叛国贼子必定斩⏎一身战袍鲜血染 那你若回头不算晚⏎赵云二字谁不闻 英风锐气敌胆寒⏎就算沧海变桑田 那五虎之将威名传⏎不狂不傲这一生 为你我愿再出征⏎当我踏上最顶峰 那我以不愧这一生⏎何为情 我何为爱 如今回首一声叹⏎戎马一生从未败 那辉煌留给后人看⏎自古乱世出英雄 一人一马破苍穹⏎世人称我为英雄 那我乃武神赵子龙⏎世人称我为英雄 我乃武神赵子龙","语料库",""
"mc深七 - 为了你","","Mc深七","曾经 我为了你 放弃手中的情笔⏎曾经 我为了你 放弃身边好知己⏎为了你我战天地 为了你我不哭泣⏎为了你我放弃过去 只想和你再相聚⏎曾经 我为了你 曾经 我想过你⏎曾经 我为了自己 曾经我也找过你⏎一种伤心 一种累 一种感觉 一种罪⏎一直在我心中疲惫 最后还是空流泪⏎曾经 我为了你 放弃所有的自己⏎我要和你在一起 不再孤单走千里⏎想起你曾叼支烟 我们一起把手牵⏎如果我们有一天 我定会让你在身边⏎如果我们在相逢 我的心会有多疼⏎回到身边能不能 立下海誓和山盟⏎网络 你太虚伪 网恋 你太后悔⏎WC 你太完美 举杯共饮忘情水⏎一人 我抽着烟 一个人 我在房间⏎一人 我太疯癫 情知如画舞翩翩⏎曾经你给的温柔 再也不会去挽留⏎独自一人借酒消愁只会变得愁更愁⏎陪你走到海之角 你的心 我来表⏎你的心 心灵手巧怎能忘记你的好⏎当年我们相爱过 爱是变成了过客⏎删了歪歪删了短信从此一人孤单过⏎想你 我心已碎 想你 我空流泪⏎想你 我喝到醉 想你我心变憔悴⏎爱你 我爱的深 爱你 我爱的真⏎爱你 我到黄昏 最后还是伤我最深⏎如今写下这首另类名字叫做为了你⏎从此我会不再想你 他也叫做忘记你","语料库",""
"mc深七-郑州深七","","Mc深七","语音让我很无奈,我心终于被伤害,小七慢慢学了坏,小哥永远被崇拜.⏎语音玩了好几年,浪费嗓子浪费钱,想想曾经真可怜,兜里揣的是美圆⏎和我说话别犟嘴,加入语音不后悔,走路基本不用腿,模样吓死一群鬼⏎语音曾经我无敌,多少小妹把我迷,视频专看割肚皮,哥肚纹个小国旗⏎一山更比一山高,泡妞小哥有绝招,小妹小妹你真骚,浑身上下全是包⏎完美爱情在期盼,干不过我全滚蛋,小哥有钱开医院,吃饭吃菜不吃饭⏎兵少曾经杀无数,开曲马上挡不住,为了出名全不顾,语音其实挺残酷⏎离开语音几个月,曾经辉煌被毁灭,小七语音从出山,总有一天会成仙⏎手出鲜血来联盟,迟差风云我纵横,身副重伤不喊疼,百家武艺我全能⏎是人早晚都会死,所有伤心就到此,所有努力都白使,所有钞票变白纸⏎一场秋雨一场凉,语音慢慢会变强,语音曾经敢称王,小哥玩的就是狂⏎爱情道路被折磨,总有一天变成佛,小七没你无法活,所有家产被人夺⏎我愿成为一枯草,一直陪你变了老,老婆都是人家好,我把老婆当个宝⏎所有汗水不白流,小七记住你恩愁,听完嗨曲就摇头,宝剑一出必封喉⏎我的魅力当不住,爱情道路挺残酷,见妹一眼就发木,为妹可以去撞树⏎小七曾经也流泪,语音五项全都会, 喊麦带个拉拉队,粉丝尖叫就惭愧⏎小七一人去地狱,遇见大手我不惧,好想朋友在相距,遇见事情不考虑⏎小吉现在很渺小,自己一人伴到老,语音越玩会越好.小七语音永不倒⏎想想曾经的朋友,上台就是一声吼,语音曾经无对手,小七玩的就不狗⏎小七从新拼语音,语音让我来动心,所有老词全变新,拉起队伍拼到今","语料库",""
"mc深七-这支烟灭我要走","","Mc深七","有些事 难忘记 有些人 难回忆⏎有些回忆回不去 有些相遇难相聚⏎有些人在许多年后 还是无人伴左右⏎时间这一杯沙漏 教会我如何承受⏎我想问问我自己 可不可以忘掉你⏎只有眼泪陪着笔 一笔笔 再挥起⏎挥起相思泪翻涌 挥起失落千万种⏎如果痛苦你都懂 怎么会有持无恐⏎我要怎么面对一切 怎么翻过这一页⏎冷却我的愈演愈烈 这份爱由我扑灭⏎注定会和你分离 注定不会有结局⏎不会共你再有传奇 命中注定来不及⏎这份爱已支离破碎 这份情自己体会⏎总会有人留着眼泪 说这份爱的滋味⏎知道你不属于我 知道你还想着我⏎为什么是这个结果 还是太难去割舍⏎我要怎么说珍重 再说下去有何用⏎爱你真的像场梦 连呼吸我都会痛⏎你说离别要用力 你说不可能放弃⏎你说过的每一句 安眠药陪我忘记⏎相见是否红着脸 离开是否红着眼⏎互相再亏欠一点 彼此别太快搁浅⏎这支烟灭我要走 请你让我先开口⏎我的孤独我的红酒 冷风中我的颤抖⏎如果时光可以倒转 另类可以重喊⏎什么事我都不管 为你心碎喊一晚⏎你的微笑你的容貌 你一切我忘不掉⏎始终我无法依靠 迷失在那32号","语料库",""
"mc深七 - 一次就好","","Mc深七","三年只为一个人 为了你我丢了魂⏎如何打开你心门 最后只剩这伤痕⏎一切要求我都做 而你劈腿再犯错⏎想起曾经的承诺 以后不会再懦弱⏎洗衣做饭珍惜你 买车买房为了你⏎你TM只有对不起 这种屈辱不可以⏎为你酒吧去买醉 每天喝酒伤了胃⏎奋不顾身对不对 现在只能无所谓⏎丢我一人在原地 狠心把我来抛弃⏎你已既跟他离去 爱**咋滴就咋滴⏎一直对你难忘记 曾经微笑太甜蜜⏎为你放弃天和地 以后有人把你替⏎不会再把你当真 怪我曾经陷太深⏎对你好坏你不分 沧桑扭转这干坤⏎也许就是梦一场 把你抹去恋人榜⏎失去你我天晴朗 不再听你大声嚷⏎对你的心已凋谢 誓言忘却这一切⏎是否记得那一夜 说爱我到天地灭⏎想起你给的温柔 如今反目已成仇⏎但愿以后别回头 烧掉照片不再留⏎每日酒醉似神仙 他人笑我太疯癫⏎可知我情深似天 缘分如今已擦肩⏎怪我当初太天真 对你傻傻不离分⏎你和他  去私奔 留我一人在黄昏⏎曾经你是我的人 曾经吻着你的唇⏎曾经带你进家门 曾经你TM是女神⏎现在你已跟他走 现在跟你挥挥手⏎现在再见出说口 现在你TM是条狗","语料库",""
"mc深七-难放下","","Mc深七","当初 你放开手 跟他远离去游走 站在原地的我只能对你背影挥挥手⏎爱你 我没有错 为何你要和他过 如今留我独自一人看着樱花在凋落⏎转身 已过三年 如今沧海变桑田 曾经写下那些誓言怎能忘记你容颜⏎五年 我在回忆 五年 我难忘记 五年我回忆过去幻想和你再相遇⏎五年 我心疲惫 五年 我流下泪 五年我喝酒买醉品尝心痛的苦味⏎五年 我太落魄 五年 我哭泣过 五年我们再次重逢却已变成了过客⏎五年 你心真狠 五年 你让我滚 五年后你会不会把爱情名利一起混⏎五年 我太负重 五年前我没有用 五年后我功成名就可是我心还在痛⏎如今 我一个人 如今 我已沉沦 如今的我早已经把自己葬入爱情坟⏎如今 我已看清 别怪我说太难听 几年后的今天不是你在陪我看流星⏎爱情 它已麻木 再也没人去守护 尽管我们经历磨难现在的心在胆触⏎名利 我不需要 名利 我做不到 名利给我再多它也不能换回你拥抱⏎金钱 它太耀眼 金钱 它太明显 金钱给我再多我也不会从新把你选⏎现在 我过的好 现在 我睡的早 现在我离开你之后自己可以吃的饱⏎从前 做饭给我 从前 把伤口抹 从前的你不会像 现在这样把我舍⏎转身 不再联系 转身 回到过去 当我转身那一瞬间已经是个离别句","语料库",""
