"题目","朝代","作者","内容","来源","词牌"
"公路电影","","黄品源","公路上好一场大雷雨⏎飘荡的乌云滚烫你的背影⏎我跟着路标向前进⏎爱到那里伤到那里⏎狂风里传回你的声音⏎我拥有回忆代价是离开你⏎甩不掉你那些表情⏎一声叹息一场游戏⏎去吧反正没有人真的在意⏎真的伤心⏎公路电影天黑的黎明⏎蒸发了一段爱情可是⏎我不想问原因⏎去吧反正没有人真的在意⏎真的伤心⏎雨过天晴我会忘了你⏎寂寞是一年四季可是⏎我不想怪宿命⏎向前开我看着照后镜⏎世界在退后人生已无风景⏎不知道下一个地方⏎距离爱情多少公里","语料库",""
"寻梦游戏","","邝美云","寻梦游戏 我问我为何眷恋你⏎沉默眼内 藏着了热诚与希冀⏎你不给我赞美⏎也不识太浪漫完美⏎却偏偏吸引我内心⏎每夜回想回味⏎缘分游戏 你未爱玩而我生气⏎来吧这夜 来热切问明我心理⏎你可否吻向我⏎揭开心里寂寞神秘⏎这刻不需要再自欺⏎让我狂热来亲你⏎寻梦游戏 我愿意睡前再想你⏎甜蜜细腻 长夜更动人与优美⏎曙光失去了你⏎我空虚似是被遗弃⏎却偷偷安慰我自己⏎你是无心逃避⏎缘分游戏 你未爱玩而我生气⏎来吧这夜 来热切问明我心理⏎你可否吻向我⏎揭开心里寂寞神秘⏎这刻不需要再自欺⏎让我狂热来亲你⏎啊   啊⏎啊  啊⏎给我回味","语料库",""
"数码超能量(数码暴龙ds_主题曲tv_verison)","","周柏豪","快跟我走！超能量发放！⏎要作战　就笑着接受挑战⏎为了战胜　战略要突变⏎Attack！Attack！⏎就要越往日底线⏎快乐与热血⏎去吧！去吧！⏎放尽怀抱吧发力进攻⏎Let'sGo⏎来发亮扩大⏎要尽情放大⏎冲击了MySoul⏎抛开一切可任意高飞⏎从今起不去追悔哪一天⏎容我两手　齐来创每天突破从前⏎无穷概念抛开束缚可任意高飞⏎从心理梦见仍可不要⏎常有自信呈现⏎如想看⏎便看见勇闯理想！超能量发放！⏎要作战　就笑着接受挑战⏎为了战胜　战略要突变⏎Attack！Attack！⏎就要越往日底线⏎快乐与热血⏎去吧！去吧！⏎放尽怀抱吧发力进攻⏎Let'sGo⏎来发亮扩大⏎要尽情放大⏎冲击了MySoul⏎抛开一切可任意高飞⏎从今起不去追悔哪一天⏎容我两手　齐来创每天突破从前⏎无穷概念抛开束缚可任意高飞⏎从心理梦见仍可不要⏎常有自信呈现⏎如想看⏎便看见勇闯理想！超能量发放！⏎MUSIC⏎抛开一切可任意高飞⏎从今起不去追悔哪一天⏎容我两手　齐来创每天突破从前⏎无穷概念抛开束缚可任意高飞⏎从心理梦见仍可不要⏎常有自信呈现⏎如想看⏎便看见勇闯理想！超能量发放！⏎MUSIC⏎勇闯理想！超能量发放！","语料库",""
"最长的电影","","周杰伦","中国爱乐⏎我们的开始⏎是很长的电影⏎放映了三年⏎我票都还留着⏎冰上的芭蕾⏎脑海中还在旋转⏎望着你 慢慢忘记你⏎朦胧的时间⏎我们溜了多远⏎冰刀划个圈⏎圈起了谁改变⏎如果再重来⏎会不会稍嫌狼狈⏎爱是不是 不开口才珍贵⏎再给我两分钟⏎让我把记忆结成冰⏎别融化了眼泪⏎你妆都花了 要我怎么记得⏎记得你叫我忘了吧⏎记得你叫我忘了吧⏎你说你会哭⏎不是因为在乎⏎朦胧的时间⏎我们溜了多远⏎冰刀划的圈⏎圈起了谁改变⏎如果再重来⏎会不会稍嫌狼狈⏎爱是不是 不开口才珍贵⏎再给我两分钟⏎让我把记忆结成冰⏎别融化了眼泪⏎你妆都花了 要我怎么记得⏎记得你叫我忘了吧⏎记得你叫我忘了吧⏎你说你会哭⏎不是因为在乎⏎再给我两分钟⏎让我把记忆结成冰⏎别融化了眼泪⏎你妆都花了 要我怎么记得⏎记得你叫我忘了吧⏎记得你叫我忘了吧⏎你说你会哭⏎不是因为在乎","语料库",""
"一场游戏一场梦","","蔡琴","不要谈什么分离⏎我不会因为这样而哭泣⏎那只是昨夜的一场梦而已⏎不要说愿不愿意⏎我不会因为这样而在意⏎那只是昨夜的一场游戏⏎那只是一场游戏一场梦⏎虽然你影子还出现我眼里⏎在我的歌声中早已没有你⏎那只是一场游戏一场梦⏎不要把残缺的爱留在这里⏎在俩个人的世界里不该有你⏎嗯 为什么道别离⏎说什么在一起⏎如今虽然没有你⏎我还是我自己⏎说什么此情永不愈⏎说什么我爱你⏎如今依然没有你⏎我还是我自己⏎那只是一场游戏一场梦⏎虽然你影子还出现我眼里⏎在我的歌声中早已没有你⏎那只是一场游戏一场梦⏎不要把残缺的爱留在这里⏎在俩个人的世界里不该有你⏎嗯 为什么道别离⏎说什么在一起⏎如今虽然没有你⏎我还是我自己⏎说什么此情永不愈⏎说什么我爱你⏎如今依然没有你⏎我还是我自己","语料库",""
"给电影人的情书","","蔡琴","多少人爱你遗留银幕的风采⏎多少人爱你遗世独立的姿态⏎你永远的童真赤子的心态⏎孤芳自赏的无奈⏎谁明白你细心隐藏的悲哀⏎谁了解你褪色脸上的缅怀⏎你天衣无缝的潇洒心底的害怕⏎慢慢渗出了苍白⏎你苦苦地追求永恒⏎生活却颠簸无常遗憾⏎你傻傻地追求完美⏎却一直给误会给伤害给放弃给责备⏎何悲何爱何必去愁与苦⏎何必笑骂恨与爱⏎人间不过是你寄身之处⏎银河里才是你灵魂的徜徉地⏎人间不过是你无形的梦⏎偶然留下的梦尘世梦⏎以身外身做银亮色的梦⏎以身外身做梦中梦⏎谁明白你细心隐藏的悲哀⏎谁了解你褪色脸上的缅怀⏎你天衣无缝的潇洒心底的害怕⏎慢慢渗出了苍白⏎你苦苦地追求永恒⏎生活却颠簸无常遗憾⏎你傻傻地追求完美⏎却一直给误会给伤害给放弃给责备⏎何悲何爱何必去愁与苦⏎何必笑骂恨与爱⏎人间不过是你寄身之处⏎银河里才是你灵魂的徜徉地⏎人间不过是你无形的梦⏎偶然留下的梦尘世梦⏎以身外身做银亮色的梦⏎以身外身做梦中梦","语料库",""
"缠绵游戏","","张卫健","夜夜有没有像这夜那么静⏎似听见这颗心滴血声⏎回味着你昨晚像恶梦似的话⏎你给我的竟不是爱情⏎是你说从来无人⏎像我在做尽傻事⏎竟然仍然认真对这玩意⏎为何从前爱得极度容易⏎将来和谁再讲这段趣事⏎缠绵游戏过后⏎为何能舍得放手⏎是定律或是爱不够⏎告诉我这段缠绵游戏过后⏎为何情不可永久⏎是事实并没有真爱⏎或根本我未看透⏎但觉得从前情人⏎在世上并没存在⏎多年来从未真正去被爱⏎我只站在门外⏎你只当做意外⏎缠绵游戏过后⏎为何能舍得放手⏎是定律或是爱不够⏎告诉我这段缠绵游戏过后⏎为何情不可永久⏎是事实并没有真爱⏎或根本我未看透⏎缠绵游戏过后⏎为何能舍得放手⏎是定律或是爱不够⏎告诉我这段缠绵游戏过后⏎为何情不可永久⏎是事实并没有真爱⏎或根本我未看透⏎西西","语料库",""
"公路电影","","五月天","公路上好一场大雷雨⏎飘荡的乌云滚烫你的背影⏎我跟着路标向前进⏎爱到那里伤到那里⏎狂风里传回你的声音⏎我拥有回忆代价是离开你⏎甩不掉你那些表情⏎一声叹息一场游戏⏎去吧反正没有人真的在意⏎真的伤心⏎公路电影天黑的黎明⏎蒸发了一段爱情可是⏎我不想问原因⏎去吧反正没有人真的在意⏎真的伤心⏎雨过天晴我会忘了你⏎寂寞是一年四季可是⏎我不想怪宿命⏎向前开我看着照后镜⏎世界在退后人生已无风景⏎不知道下一个地方⏎距离爱情多少公里⏎公路上好一场大雷雨⏎飘荡的乌云滚烫你的背影⏎我跟着路标向前进⏎爱到那里伤到那里⏎狂风里传回你的声音⏎我拥有回忆代价是离开你⏎甩不掉你那些表情⏎一声叹息一场游戏⏎去吧反正没有人真的在意⏎真的伤心⏎公路电影天黑的黎明⏎蒸发了一段爱情可是⏎我不想问原因⏎去吧反正没有人真的在意⏎真的伤心⏎雨过天晴我会忘了你⏎寂寞是一年四季可是⏎我不想怪宿命⏎向前开我看着照后镜⏎世界在退后人生已无风景⏎不知道下一个地方⏎距离爱情多少公里","语料库",""
"爱游戏","","萧敬腾","现在是 哪一题 摆明跟我玩猜谜⏎懒得猜 不想理 管你晴天穿雨衣⏎所谓的 万人迷 感情肯定不专一⏎懂得我 的逻辑 就知道我稀奇⏎爱游戏 我不耍马戏⏎爱游戏 像个烂把戏⏎你的话总那么少 在想什么谁知道⏎按捺不住快跳脚 你懂不懂礼貌⏎女孩不都爱这招 就要人讨好⏎你偏偏不跳进 圈套⏎通通有 请注意 我的存在是奇迹⏎大步地 太费力 把我当成假想敌⏎我爱你 不会提 言语一点不犀利⏎照规矩 守秩序 我不爱玩游戏⏎爱游戏 我不耍马戏⏎爱游戏 像个烂把戏⏎给你好几个暗号 到底收不收得到⏎我不要你有多潮 但也别像石雕⏎女孩不是都需要 多陪她聊聊⏎你偏偏永远不出招⏎爱游戏 我不耍马戏⏎爱游戏 像个烂把戏⏎爱游戏 耍马戏⏎爱游戏 烂把戏⏎你爱游戏 随便你⏎你的游戏 像马戏 烂把戏⏎我拜托你有点回应 要你注意好像战役⏎你那无声电影 简直太过入戏⏎我看得出你快要没力 恨不得能把我枪毙⏎既然暂时没交集 就别白费力气⏎爱游戏 oh ye 暧昧游戏 yeah i 暧昧把戏 wu~⏎爱的游戏 暧昧把戏⏎爱游戏 暧昧把戏⏎爱游戏 耍马戏 爱游戏 我看猴戏⏎Just stop this game that you playing⏎爱游戏 个歌仔戏⏎dont play this game with me","语料库",""
"我确定(真爱找麻烦_插曲)","","品冠","心 感谢认识你⏎你 充满我的心⏎爱情好神奇⏎有时不需要言语⏎生活里默契让我们都惊喜⏎心 如果没有你⏎我像 无头的苍蝇⏎未来跟过去比⏎我相信一定有趣⏎你是我欣赏不完的风景⏎此时此刻我确定⏎我确定永远都爱你⏎我决定你的决定像信仰一样地坚定⏎此时此刻我确定⏎就算窗外雷声惊天动地⏎醒在身边那个人是你我就安心⏎心 感谢认识你⏎你 充满我的心⏎爱情好神奇⏎有时不需要言语⏎生活里默契让我们都惊喜⏎此时此刻我确定⏎我确定永远都爱你⏎我决定你的决定像信仰一样地坚定⏎此时此刻我确定⏎就算窗外雷声惊天动地⏎醒在身边那个人是你我就安心⏎此时此刻我确定⏎我确定永远都爱你⏎我决定你的决定像信仰一样地坚定⏎此时此刻我确定⏎就算窗外雷声惊天动地⏎醒在身边那个人是你我就安心⏎我确定","语料库",""
