"题目","朝代","作者","内容","来源","词牌"
"深情相拥(对唱)","","米雅","不愿放开你的手⏎此刻可否停留⏎爱的乐章还在心中弹奏⏎今夜怎能就此罢休⏎我的感受 与你相同⏎不愿陪月儿般滑落⏎对你的心 有星辰来为证⏎爱如风云翻涌⏎再次深情相拥⏎时间这一刻停留⏎千万不要开口再对我说⏎爱情只为今夜不走⏎既然相信会有思念的忧⏎就让你我俩常伴左右⏎《深情相拥》 - 王雅洁⏎我的感受 与你相同⏎不愿陪月儿般滑落⏎对你的心 有星辰来为证⏎爱如风云翻涌⏎再次深情相拥⏎时间这一刻停留⏎千万不要开口再对我说⏎爱情只为今夜不走⏎既然相信会有思念的忧⏎就让你我俩常伴左右⏎就让你我俩常伴左右","语料库",""
"西藏情歌","","格格","蓝蓝的天上白云有几朵⏎云朵里藏着我泪珠有几颗⏎我愿化作化作一条小河⏎缓缓流进你温暖的心窝⏎高高的雪山上格桑有几朵⏎你美丽笑容倒映在纳木错⏎我愿化作化作一缕炊烟⏎而你却让我独自飘向了沙漠⏎啊 高原上的情歌⏎为何越唱越寂寞⏎我站在美丽的布达拉⏎心里却依然失落⏎高原上的情歌⏎为何越唱越难过⏎而我就像风中的雪莲⏎被你狠心的吹落⏎呀呀唻嗦⏎呀唻呀唻嗦⏎呀呀唻嗦⏎呀唻呀唻嗦⏎高高的雪山上格桑有几朵⏎你美丽笑容倒映在纳木错⏎我愿化作化作一缕炊烟⏎而你却让我独自飘向了沙漠⏎啊 高原上的情歌⏎为何越唱越寂寞⏎我站在美丽的布达拉⏎心里却依然失落⏎高原上的情歌⏎为何越唱越难过⏎而我就像风中的雪莲⏎被你狠心的吹落⏎高原上的情歌⏎为何越唱越寂寞⏎我站在美丽的布达拉⏎心里却依然失落⏎高原上的情歌⏎为何越唱越难过⏎而我就像风中的雪莲⏎被你狠心的吹落⏎而我就像风中的雪莲⏎被你狠心的吹落","语料库",""
"背上行囊去西藏","","格格","我背上行囊去西藏⏎到纳木错的圣湖旁看夕阳⏎远处的爱人，脸上灿烂的红光⏎就犹如天边的晚霞带着一抹弯弯的笑⏎唐古拉的雪山，闪烁着银色的光⏎浓香的青稞酒醉四方⏎手捧起哈达，献给亲爱的情郎⏎愿我们爱情永远地久天长⏎哈啊~~~~~~~~~⏎我就是高原的玫瑰，快乐的绽放⏎哈啊~~~~~~~~~⏎打起心中的节拍，一路歌唱⏎哈啊~~~~~~~~~⏎我就是高原的玫瑰，快乐的绽放⏎哈啊~~~~~~~~~⏎让我们一起为吉祥，为吉祥歌唱⏎唐古拉的雪山，闪烁着银色的光⏎浓香的青稞酒醉四方⏎手捧起哈达，献给亲爱的情郎⏎愿我们爱情永远地久天长⏎哈啊~~~~~~~~~⏎我就是高原的玫瑰，快乐的绽放⏎哈啊~~~~~~~~~⏎打起心中的节拍，一路歌唱⏎哈啊~~~~~~~~~⏎我就是高原的玫瑰，快乐的绽放⏎哈啊~~~~~~~~~⏎让我们一起为吉祥，为吉祥歌唱⏎哈啊~~~~~~~~~⏎我就是高原的玫瑰，快乐的绽放⏎哈啊~~~~~~~~~⏎让我们一起为吉祥，为吉祥歌唱⏎让我们一起为吉祥，为吉祥歌唱","语料库",""
"红莓花儿开（cover_黑鸭子）","","格格","田野小河边红莓花儿开⏎有一位少年真使我喜爱⏎可是我不能对他表白⏎满怀的心腹话儿没法讲出来⏎满怀的心腹话儿没法讲出来⏎他对这桩事情一点也不知道⏎少女为他思念天天在心焦⏎河边红莓花儿已经凋谢了⏎少女的思恋一点儿没减少⏎少女的思恋一点儿没减少⏎田野小河边红莓花儿开⏎有一位少年真使我喜爱⏎可是我不能对他表白⏎满怀的心腹话儿没法讲出来⏎满怀的心腹话儿没法讲出来⏎少女的思恋天天在增长⏎我是一个姑娘怎么对他讲⏎没有勇气诉说尽在彷徨⏎我的心上人儿自己去猜想⏎我的心上人儿自己去猜想⏎啊⏎我的心上人儿自己去猜想","语料库",""
"逃到了西藏逃不过爱情","","冷漠","厌倦了钢筋水泥的丛林⏎带一颗残缺的心去旅行⏎看透了誓言寂寞的浮云⏎关于爱情 我再不相信⏎你站在世间最高的地方⏎对着那蓝天白云放声歌唱⏎融化了我那寂寞的心房⏎我要随你四处去流浪⏎逃到了西藏逃不过爱情⏎萨拉的天空蔚蓝又纯净⏎你的笑容比阳光更温暖⏎温暖了我冰封的心⏎逃到了西藏逃不过爱情⏎转经筒刻着前世的约定⏎你的胸怀比天地更宽广⏎牵手看那最美的风景⏎你站在世间最高的地方⏎对着那蓝天白云放声歌唱⏎融化了我那寂寞的心房⏎我要随你四处去流浪⏎逃到了西藏逃不过爱情⏎拉萨的天空蔚蓝又纯净⏎你的笑容比阳光更温暖⏎温暖了我冰封的心⏎逃到了西藏逃不过爱情⏎转经筒刻着前世的约定⏎你的胸怀比天地更宽广⏎牵手看那最美的风景⏎逃到了西藏逃不过爱情⏎拉萨的天空蔚蓝又纯净⏎你的笑容比阳光更温暖⏎温暖了我冰封的心⏎逃到了西藏逃不过爱情⏎转经筒刻着前世的约定⏎你的胸怀比天地更宽广⏎牵手看那最美的风景⏎牵手看那最美的风景","语料库",""
"包愣调(山东民歌)","","龚琳娜","月亮地儿那个出来了⏎楞……⏎太阳来出来了一点红⏎葵花朵朵向太阳⏎条条那个道路放光明⏎大姐来哎唱罢了紧⏎那个包楞姐来⏎送给二姐紧那个包⏎楞……⏎棉花桃那个开花来⏎楞……⏎高粱来结籽来遍地儿红⏎粮棉丰收好年景⏎家家户户挂红灯⏎楞⏎大姐来哎唱罢了紧⏎那个包楞姐来⏎送给三姐紧那个包⏎楞……⏎一对对那个飞鸽来⏎楞……⏎百花来开放来万紫千红⏎五谷丰登好收成⏎万众来个奔向锦绣前程⏎楞⏎三姐来唱罢了⏎紧那个包楞姐⏎送给大家紧那个包⏎楞……⏎楞……","语料库",""
"桃花红_杏花白(山西民歌)","","龚琳娜","桃花红 杏花白⏎啊……⏎桃花来你就红来⏎杏花来你就白⏎爬山越岭寻你来呀⏎啊格呀呀呆⏎桃花来你就红来⏎爬山越岭寻你来呀⏎啊格呀呀呆⏎榆树来你就开花⏎圪枝来你就多⏎你的心眼比俺多呀⏎啊格呀呀呆⏎你的心眼比俺多呀⏎啊格呀呀呆⏎锅儿来你就开花⏎下不上你就米⏎不想旁人光想你呀⏎啊格呀呀呆⏎不想旁人光想你呀⏎啊格呀呀呆⏎啊……⏎桃花来你就红⏎杏花来你就白⏎爬山越岭寻你来呀⏎啊格呀呀呆⏎金针针你就开花⏎六瓣瓣你就黄⏎盼望和哥哥（妹妹）结成双呀⏎啊格呀呀呆⏎盼望和哥哥（妹妹）结成双呀⏎啊格呀呀呆","语料库",""
"放羊三十三","","龚琳娜","三月三 去放羊 桃花李花开满山⏎桃花红李花白 桃李成双放羊的阿哥单对单⏎三月三 去放羊 桃花李花开满山⏎桃花红李花白 桃李成双放羊的阿哥单对单⏎羊儿��唱 总在唤我⏎带它去山上 寻找好地方⏎33 我的羊 数来数去就只有一只羊⏎没有伴来单对单⏎可怜的小羊 你和我一样⏎没有人陪伴 没有人思想⏎孤独的小羊 你和我一样⏎每天去山上 独自的歌唱⏎三月三 去放羊 桃花李花开满山⏎桃花红李花白 桃李成双放羊的阿哥单对单⏎亲爱的小羊 我的心我的心⏎已不能漫游在这山上⏎三月三 翻过山 春风带我走出了小村庄⏎云儿为我遮太阳⏎三月三 花满山 哪朵当阳哪朵香⏎阿哥来阿妹唱 三天三夜唱不完心中的情意长⏎哎哟我的羊 我早已忘呀忘呀忘了在山上⏎三月三 去放羊 丢了我的姑娘也丢了羊⏎三月三 羊满山 春风吹乱了 年轻的羊儿心慌慌","语料库",""
"五哥放羊(陕北民歌)","","龚琳娜","五哥放羊（阳高二人台）⏎正月格里正月正，⏎正月(那个)十五挂上红灯，⏎红灯(那个)挂在哎大来门外，⏎单(那个)等你的五(那个)哥哥上工来，⏎哎哟哎 哎哟哎，哎来哎咳哟！⏎单(那个)等你的五(那个)哥哥上工来。⏎二月格里格刮春风⏎五哥(那个)放羊转周村⏎羊群(那个)一过起黄尘⏎只撩见呀那个黄那个尘尘⏎撩不见五哥我的人⏎哎咳，哎咳约呀⏎只撩见那个黄呀那个尘尘⏎撩不见五哥我的人⏎七月格里豆角角的白⏎妹妹你给五哥捎来对嚡⏎你给那个哥哥就做那个牛鼻鼻嚡⏎五哥穿上嚡阿那个高兴兴眊小妹妹来⏎哎哟(那个)哎哟哎，哎来哎咳哟！⏎五哥穿上嚡阿那个高高兴兴眊那小妹妹来","语料库",""
"茉莉花(河北民歌)","","龚琳娜","好一朵茉莉花儿哎哎嗨哎哎哎嗨哎哎嗨哎哎嗨哟哦~⏎好一朵茉莉花儿哎哎嗨哎嗨哎嗨哎嗨哎嗨哎嗨哟~哎嗨哟~⏎茉哒莉呀~花哟（又）开呀~⏎莫把那人爱上呀~哎嗨哎嗨哎嗨哟~哎哎嗨哟哇⏎奴有心啊~掐朵戴呀啊啊啊啊⏎又怕那个看呐看呐看花的把脸嗯呐~哎呀~嗯哼哎嗨~哎嗨哟~哎嗨哎嗨哟啊~哎嗨哎哟~哎哟~⏎八月桂花香（昂昂昂）哎嗨哎⏎九月菊花儿黄呐~哎哎嗨哎嗨哎嗨哎嗨哎嗨哟~哎嗨嗨哟⏎有一（啊）呀~张（昂昂）生呀~跳过了粉皮儿墙啊哎嗨哎嗨哎嗨哟~哎哎嗨哟哇⏎好一个呀~崔莺莺呀啊啊啊~啊啊⏎哗啦啦啦把呀把呀门儿关上呀嗯呐~哎呀~嗯哼哎嗨哎嗨哟~哎嗨哎嗨哟哇哎嗨哎哟~~哎哟~~⏎爱告小红娘哎嗨哎⏎爱告小红娘呀~哎哎嗨哎嗨哎嗨哎嗨哎嗨哟~哎嗨哟~⏎可呀怜呐~张学生啊⏎跪在了你门儿前呐~哎嗨哎嗨哎嗨哟~哎哎嗨哟哇~⏎你若是啊 不开门呐啊啊 啊~⏎跪呀跪呀跪呀到了红房里面⏎嗯呐~哎呀~嗯哼哎嗨哎嗨哟~哎嗨哎嗨哟哇~哎嗨哎哟~哎哟~⏎哗啦啦把门儿开呀哎嗨哎~⏎哗啦啦把门儿开呀~哎哎嗨哎嗨哎嗨哎嗨哎嗨嗨哟~哎嗨嗨哟~~⏎开呀开了门儿两扇呀~⏎进来了张秀才呀~哎嗨哎嗨哎嗨哟~哎哎嗨哟哇⏎小哥哥呀~忙施礼呀啊啊~啊啊~⏎小妹妹呀飘啊飘啊飘飘地拜谒⏎嗯呐~哎呀~嗯哼哎嗨哎嗨哟~哎嗨哎嗨哟哇哎嗨哎哟~~哎哟~~","语料库",""
