"题目","朝代","作者","内容","来源","词牌"
"酒醉的探戈","","动力火车","我带着七分醉意⏎三分清醒蹒跚你家门口⏎感觉冷飕飕⏎回忆它左耳飞进右耳飞出让我脚轻头重⏎一颗心悬空⏎分手的五种原因八个理由你都说的很溜⏎我需要一桶冰块一条毛巾好在清醒之后⏎不愁上加愁⏎爱凭什么叫人想东想西想不开⏎你为什么在我醉的时候说拜拜⏎跳一段酒醉的探戈⏎脚趾头无所适从⏎混乱的绝情的探戈⏎good-bye啦 我的女友⏎我愿意把那海誓把那山盟刺在我的右手⏎牵着你远走⏎但你把所有海誓所有山盟丢进了垃圾桶⏎我能怎么救⏎爱凭什么叫人想东想西想不开⏎你为什么在我醉的时候说拜拜⏎跳一段酒醉的探戈⏎脚趾头无所适从⏎混乱的绝情的探戈⏎good-bye啦 我的女友⏎跳一段酒醉的探戈⏎爱让我借酒装疯⏎伤心的最后的探戈⏎good-bye啦 我的温柔⏎跳一段酒醉的探戈⏎脚趾头无所适从⏎混乱的绝情的探戈⏎good-bye啦 我的女友⏎跳一段酒醉的探戈⏎爱让我借酒装疯⏎伤心的最后的探戈⏎good-bye啦 我的温柔","语料库",""
"当","","动力火车","喔～ 喔～ 喔 喔 喔 喔 喔⏎喔～ 喔～ 喔～ 喔 喔～⏎喔～ 喔～ 喔～ 喔 喔 喔⏎喔～ 喔～ 喔～～⏎当山峰没有棱角的时候⏎当河水不再流⏎当时间停住日夜不分⏎当天地万物化为虚有⏎我还是不能和你分手⏎不能和你分手⏎你的温柔是我今生最大的守候⏎当太阳不再上升的时候⏎当地球不再转动⏎当春夏秋冬不再变化⏎当花草树木全部凋残⏎我还是不能和你分散⏎不能和你分散⏎你的笑容是我今生最大的眷恋⏎让我们红尘作伴活得潇潇洒洒⏎策马奔腾共享人世繁华⏎对酒当歌唱出心中喜悦⏎轰轰烈烈把握青春年华⏎让我们红尘作伴活得潇潇洒洒⏎策马奔腾共享人世繁华⏎对酒当歌唱出心中喜悦⏎轰轰烈烈把握青春年华⏎喔～ 喔～ 喔 喔 喔 喔 喔⏎喔～ 喔～ 喔～ 喔 喔～⏎喔～ 喔～ 喔～ 喔 喔 喔⏎喔～ 喔～ 喔～～⏎当太阳不再上升的时候⏎当地球不再转动⏎当春夏秋冬不再变化⏎当花草树木全部凋残⏎我还是不能和你分散⏎不能和你分散⏎你的笑容是我今生最大的眷恋⏎让我们红尘作伴活得潇潇洒洒⏎策马奔腾共享人世繁华⏎对酒当歌唱出心中喜悦⏎轰轰烈烈把握青春年华⏎让我们红尘作伴活得潇潇洒洒⏎策马奔腾共享人世繁华⏎对酒当歌唱出心中喜悦⏎轰轰烈烈把握青春年华⏎让我们红尘作伴活得潇潇洒洒⏎策马奔腾共享人世繁华⏎对酒当歌唱出心中喜悦⏎轰轰烈烈把握青春年华⏎让我们红尘作伴活得潇潇洒洒⏎策马奔腾共享人世繁华⏎对酒当歌唱出心中喜悦⏎轰轰烈烈把握青春年华⏎喔～ 喔～ 喔 喔 喔 喔 喔⏎喔～ 喔～ 喔～ 喔 喔～⏎喔～ 喔～ 喔～ 喔 喔 喔⏎喔～ 喔～ 喔～～","语料库",""
"爱情香","","黄品源","当你笑里有海浪闻到爱情香像万朵玫瑰在同一秒绽放⏎爱给我一双不累的翅膀追着你的心去飞翔⏎看你眼里有火花闻到爱情香像千杯咖啡都泼在胸口上⏎好想在耳边对你小声讲不只是酒能醉人啊......⏎爱有最美丽的魔法带你到向往的地方⏎闭上眼紧靠我胸膛不怕拥抱让自己融化⏎当你笑里有海浪闻到爱情香像万朵玫瑰在同一秒绽放⏎爱给我一双不累的翅膀追着你的心去飞翔⏎看你眼里有火花闻到爱情香像千杯咖啡都泼在胸口上⏎好想在耳边对你小声讲不只是酒能醉人啊......⏎爱有最美丽的魔法带你到向往的地方⏎闭上眼紧靠我胸膛不怕拥抱让自己融化⏎爱有最美丽的魔法带你到向往的地方⏎闭上眼紧靠我胸膛不怕拥抱让自己融化","语料库",""
"笑红尘","","米雅","红尘多可笑⏎痴情最无聊⏎目空一切也好⏎此生未了⏎心却已无所扰⏎只想换得半世逍遥⏎醒时对人笑⏎梦中全忘掉⏎叹天黑得太早⏎爱恨一笔勾销⏎对酒当歌我只愿开心到老⏎风再冷不想逃⏎花再美也不想要⏎天越高心越小⏎不问因果有多少⏎今天哭明天笑⏎不求有人能明了⏎歌在唱舞在跳⏎长夜漫漫不觉晓将快乐寻找⏎红尘多可笑⏎痴情最无聊⏎目空一切也好⏎此生未了⏎心却已无所扰⏎只想换得半世逍遥⏎醒时对人笑⏎梦中全忘掉⏎叹天黑得太早⏎来生难料⏎爱恨一笔勾销⏎对酒当歌我只愿开心到老⏎风再冷不想逃⏎花再美也不想要⏎任我飘摇⏎天越高心越小⏎不问因果有多少⏎独自醉倒⏎今天哭明天笑⏎不求有人能明了⏎一身骄傲⏎歌在唱舞在跳⏎长夜漫漫不觉晓将快乐寻找⏎风再冷不想逃⏎花再美也不想要⏎任我飘摇⏎天越高心越小⏎不问因果有多少⏎独自醉倒⏎今天哭明天笑⏎不求有人能明了⏎一身骄傲⏎歌在唱舞在跳⏎长夜漫漫不觉晓将快乐寻找","语料库",""
"酒醉的探戈","","米雅","我醉了⏎因为我寂寞⏎有谁来安慰我⏎如果没有你⏎日子怎么过⏎往日的旧梦⏎就像你的酒窝⏎酒窝里有你也有我⏎酒醉的探戈⏎酒醉的探戈⏎不要忘记我⏎啊…⏎酒醉的探戈⏎我哭了⏎因为我寂寞⏎才能够安慰我⏎如果没有你⏎日子怎么过⏎往日的旧梦⏎就像你的酒窝⏎酒窝里有你也有我⏎酒醉的探戈⏎酒醉的探戈⏎告诉他⏎不要忘记我⏎啊…⏎酒醉的探戈","语料库",""
"男人歌","","羽·泉","生下来不容易⏎长大成人更不容易⏎天外天人外人⏎何必非争个高低⏎大男子的主义⏎顶天立地天经地义⏎不贴心的女子⏎怎懂得个中真谛⏎为朋友两肋插刀⏎酒逢知己千杯少⏎绚烂轻狂的年少⏎怎晓得岁月如刀⏎踏遍浮华与名利⏎黏在脚下变成泥⏎踏破铁鞋去寻觅⏎一个真正的自己⏎上有老 下有小⏎不休的烦恼知多少⏎谁都不是超人⏎只要尽力了就好⏎国和家 忠和孝⏎未尽的理想知多少⏎为博一世英名⏎何苦一辈子煎熬⏎脸上无限的风光⏎心里面雨雪风霜⏎为博那红颜一笑⏎却博得一身的伤⏎撕掉坚强的伪装⏎是最柔软的心脏⏎爱是最高的信仰⏎家是我的天堂⏎为朋友两肋插刀⏎酒逢知己千杯少⏎绚烂轻狂的年少⏎怎晓得岁月如刀⏎踏遍浮华与名利⏎黏在脚下都变成泥⏎踏破铁鞋去寻觅⏎一个真正的自己⏎爱是我的信仰⏎家是我的天堂","语料库",""
"忘了","","羽·泉","让黑夜把我包围⏎风吹干你的泪⏎梦想让我们疲惫⏎已没有力气举杯⏎紧握的手如今无法给安慰⏎寂寞悄悄地在往心里堆⏎数到三松开手 头就不要回⏎就别再口是心非⏎我忘了最最初爱情滋味⏎你要的幸福是我无法给⏎在转眼间树枯了叶黄了花谢了⏎世界都枯萎⏎我忘了承诺要比翼双飞⏎而现实把我们往反向推⏎直到最后爱走了人变了心冷了⏎剩无言以对⏎还想和你相依偎⏎越过冰点以北⏎看极地彩虹的美⏎在雪地种下蔷薇⏎紧握的手如今无法给安慰⏎寂寞悄悄地在往心里堆⏎数到三松开手 头就不要回⏎就别再口是心非⏎我忘了最最初爱情滋味⏎你要的幸福是我无法给⏎在转眼间树枯了叶黄了花谢了⏎世界都枯萎⏎我忘了承诺要比翼双飞⏎而现实把我们往反向推⏎直到最后爱走了人变了心冷了⏎剩无言以对⏎我忘了最最初爱情滋味⏎你要的幸福是我无法给⏎在转眼间树枯了叶黄了花谢了⏎世界都枯萎⏎我忘了承诺要比翼双飞⏎而现实把我们往反向推⏎直到最后爱走了人变了心冷了⏎剩无言以对⏎我好累","语料库",""
"爱得疯了","","邝美云","从未干杯都欠清醒给他醉倒了⏎常在抵挡都也轻轻给他扣紧了⏎常在深宵一角当中想他那一笑⏎然后不知不觉之中他使我心跳⏎我爱得疯了我爱得疯了⏎每晚每朝他烧暖每一秒⏎我爱得疯了我爱得疯了⏎哦哦⏎无论天色灰似秋冬⏎都不再紧要⏎停在他的双臂当中⏎天空也光了⏎无论交通怎个不通⏎都给以一笑⏎浮在他的一吻之中⏎不通也通了⏎我爱得疯了我爱得疯了⏎每晚每朝他烧暖每一秒⏎我爱得疯了我爱得疯了⏎哦哦⏎如若一生手里空空⏎都不再紧要⏎凝望他的双眼当中⏎找到我所要⏎如若选举心里主宰⏎他得我一票⏎无论今朝加上他朝⏎他都最主要⏎我爱得疯了我爱得疯了⏎每晚每朝他烧暖每一秒⏎我爱得疯了我爱得疯了⏎每晚每朝⏎哦哦⏎终于终于疯了⏎终于不可再醉醒⏎但是多美妙⏎终于终于疯了⏎请不必把我叫醒⏎现在颇美妙⏎我爱得疯了我爱得疯了⏎每晚每朝他烧暖每一秒⏎我爱得疯了我爱得疯了⏎每晚每朝⏎哦哦⏎从未干杯都欠清醒给他醉倒了⏎常在抵挡都也轻轻给他扣紧了⏎常在深宵一角当中想他那一笑⏎然后不知不觉之中他使我心跳⏎我爱得疯了我爱得疯了⏎每晚每朝他烧暖每一秒⏎我爱得疯了我爱得疯了⏎每晚每朝⏎哦哦","语料库",""
"相逢在半生","","邝美云","迷惘的你 怀里的我 哭着转身⏎仍陶醉的吻难过的眼神在斗争⏎她的一生都交托给你 你却因我变心⏎而他即使始终不了解我 分手仍是痛心⏎一双很久已死的心 碰上了像重获新生⏎欢欣交织了愁与困 不可能但发生⏎怎可跟他说要相分 我爱你但仍是伤心⏎她的痴心谁能抗拒 惟愿你能⏎惆怅的你 难过的我 怎愿再等⏎茫然对他说犹如你跟她一样狠心⏎哀伤的他只管抱紧我 苦苦的将我亲⏎而哭泣的她呜咽里的吻⏎点点留在你心⏎怎么不跟你早相亲⏎过去各在长路打滚⏎亏空多少情缘爱债⏎今相逢在半生⏎哭偏哭不退愁与困⏎笑我笑问谁弄苍生⏎今天开始从前过去⏎只想从未发生","语料库",""
"今天应该很快乐","","周柏豪","今天应该很快乐 望见欢呼的她很快乐⏎为我设宴庆功 举杯祝酒 像我应该 要自豪⏎难得今次得到一个奖 换到成就吗⏎讲一辈子理想 还是找不到方向⏎几多刻苦的锻炼 为了告诉世界我可以⏎但见前途朦胧 疑虑太多 风中继续转⏎若所有蔑视我的眼镜 未跌满一地⏎得到这绝不罕有的冠冕 还未可以叫做得志⏎高呼我的名 叫我有快感⏎高呼我的名字 令我有身份⏎迷失当中送我离群 离开上万个别人⏎高呼我的名叫做铭记于心⏎做到轰轰烈烈 然后转身⏎我要大地亦震撼⏎平生自信 全刻在我掌印⏎几多刻苦的锻炼 为了告诉世界我可以⏎但见前途朦胧 疑虑太多 风中继续转⏎若所有蔑视我的眼镜 未跌满一地⏎得到这绝不罕有的冠冕 还未可以叫做得志⏎高呼我的名 叫我有快感⏎高呼我的名字 令我有身份⏎迷失当中送我离群 离开上万个别人⏎高呼我的名叫做铭记于心⏎做到轰轰烈烈 然后转身⏎我要大地亦震撼⏎平生自信 全刻在我掌印⏎若等到满地玻璃碎片 为了我铺路⏎得到这值得拥有的讽刺 耗尽所有却极讨厌⏎高呼我的名 叫做有决心⏎高呼我的名字 令我会牺牲⏎迷失当中对抗命运 赢输也别要下沉⏎始终有种回报 让我看得真⏎自我的肯定 让存在有戚⏎对我愿望负责任⏎任清路向就一定发生","语料库",""
