"题目","朝代","作者","内容","来源","词牌"
"牧者之歌","","蔡琴","耶和华是我的牧者 我必不至缺乏⏎祂使我躺卧在青草地上⏎领我在可安歇的水边⏎祂使我的灵魂苏醒⏎为自己的名 引导我走义路⏎我虽然行过死荫的幽谷⏎也不怕遭害⏎因为你与我同在⏎你的杖 你的竿 都安慰我⏎在我敌人面前 你为我摆设筵席⏎你用油膏了我的头⏎使我的福杯满溢⏎我一生一世 必有恩惠慈爱随着我⏎我且要住在耶和华的殿中⏎我虽然行过死荫的幽谷⏎也不怕遭害⏎因为你与我同在⏎你的杖 你的竿 都安慰我⏎在我敌人面前 你为我摆设筵席⏎你用油膏了我的头⏎使我的福杯满溢⏎我一生一世 必有恩惠慈爱随着我⏎我且要住在耶和华的殿中⏎直到永远","语料库",""
"祈祷","","蔡琴","让我们敲希望的钟呀 多少祈祷在心中⏎让大家看不到失败 叫成功永远在⏎让地球忘记了转动呀 四季少了夏秋冬⏎让宇宙关不了天窗 叫太阳不西冲⏎让欢喜代替了哀愁呀 微笑不会再害羞⏎让时光懂得去倒流 叫青春不开溜⏎让贫穷开始去逃亡呀 快乐健康流四方⏎让世间找不到黑暗 幸福像花开放⏎让我们敲希望的钟呀 多少祈祷在心中⏎让大家看不到失败 叫成功永远在⏎让欢喜代替了哀愁呀 微笑不会再害羞⏎让时光懂得去倒流 叫青春不开溜⏎让贫穷开始去逃亡呀 快乐健康流四方⏎让世间找不到黑暗 幸福像花开放⏎让世间找不到黑暗 幸福像花开放","语料库",""
"哈利路亚","","蔡琴","爱声声藏在传说中⏎那是君王为祂而弹奏⏎但你从不曾在意听过 是否⏎祂是这样走 有笑有泪⏎有刚强 也有软弱⏎千百年唱着困惑 哈利路亚⏎你和祂之间若即若离⏎你孤独走在旷野里⏎月光美丽无法抵抗 是否⏎爱的试探 有苦有痛⏎有毁灭 更有背叛⏎这是冰冷破碎旋律 哈利路亚⏎哈利路亚 哈利路亚⏎哈利路亚 哈利路亚⏎你经过的所有失落⏎我也曾经一样走过⏎但你不知能向谁诉说 是否⏎灵魂深处 微小声音⏎有回答 更有呼唤⏎你活着的每一口呼吸 哈利路亚⏎哈利路亚 哈利路亚⏎哈利路亚 哈利路亚⏎请原谅我给的不多⏎尽我所有请你接受⏎在祂面前才学会为你 祈求⏎愿你记得 美好生命⏎要自由 更要赞美⏎我唇上已无他语 哈利路亚⏎哈利路亚 哈利路亚⏎哈利路亚 哈利路亚⏎哈利路亚 哈利路亚","语料库",""
"无言歌","","林忆莲","万福玛利亚⏎怜悯我吧⏎告诉我吧⏎生的意义⏎轮回的契机⏎敬爱的父⏎怜悯我吧⏎告诉我吧⏎战争的意义⏎爱情的政治⏎救救我们的神经⏎救救我们思想里的孽⏎救救我们的神经⏎救救我们思想里的孽⏎赤道玛利亚⏎声音沙哑谁听见她⏎怜悯我吧 告诉我吧战争的意义⏎爱情的政治⏎救救我们的神经⏎救救我们思想里的孽⏎救救我们的神经⏎救救我们思想里的孽⏎救救我们的神经⏎救救我们思想里的孽⏎救救我们的神经⏎救救我们思想里的孽⏎救救我们的神经⏎救救我们思想里的孽⏎救救我们的神经⏎救救我们思想里的孽⏎救救我们的神经⏎救救我们思想里的孽⏎救救我们的神经⏎救救我们思想里的孽⏎救救我们的神经⏎救救我们思想里的孽⏎救救我们的神经⏎救救我们思想里的孽","语料库",""
"权力与荣耀","","南征北战","就让火焰再猛烈 呐喊再轰烈⏎遍地是被我亲手撕裂的梦魇⏎我看见了耀眼的光芒⏎不需要再伪装和彷徨⏎去迎接那众神的洗礼⏎重生的意义 渴望着永恒⏎虚空下我听到了咆哮⏎仿佛在那召唤着荣耀⏎争夺着权力绝不动摇⏎异界的风暴 肆意地蔓延⏎战乱者分割着地域⏎沾满了热血的羽翼⏎贪婪和邪恶将被取缔⏎善战的勇士为此聚集⏎英勇地登向王权之巅⏎信奉自由和新的世界⏎英雄翻开伟大的诗篇⏎尽情将它实现⏎就让火焰再猛烈 呐喊再轰烈⏎遍地是被我亲手撕裂的梦魇⏎战地再重现 胜利将会再重演⏎屹立在烽烟中是王者的容颜⏎痛得剧烈 声嘶力竭⏎奋战浴血 生死一决⏎虚空下我听到了咆哮⏎仿佛在那召唤着荣耀⏎争夺着权力绝不动摇⏎异界的风暴 肆意地蔓延⏎战乱者分割着地域⏎沾满了热血的羽翼⏎贪婪和邪恶将被取缔⏎善战的勇士为此聚集⏎英勇地登向王权之巅⏎信奉自由和新的世界⏎英雄翻开伟大的诗篇⏎尽情将它实现⏎就让火焰再猛烈 呐喊再轰烈⏎遍地是被我亲手撕裂的梦魇⏎战地再重现 胜利将会再重演⏎屹立在烽烟中是王者的容颜⏎痛得剧烈 声嘶力竭⏎奋战浴血 生死一决⏎就让火焰再猛烈 呐喊再轰烈⏎遍地是被我亲手撕裂的梦魇⏎战地再重现 胜利将会再重演⏎屹立在烽烟中是王者的容颜⏎就让火焰再猛烈 呐喊再轰烈⏎遍地是被我亲手撕裂的梦魇⏎战地再重现 胜利将会再重演⏎屹立在烽烟中是王者的容颜⏎痛得剧烈 声嘶力竭⏎奋战浴血 生死一决","语料库",""
"太平天国","","草蜢","时势如未路面临巨变⏎不必心慌意乱⏎若狠狠一搏自有生天⏎是我们天生英勇善战⏎喜欢兵荒马乱⏎才促使举世盛况不断⏎尽情地作乱⏎够惊险方配叫做乐园 作乱⏎大好的先机在脚边 尽情地作乱⏎哪稀罕不变五十年⏎扬名成霸业 就趁它乱⏎同颂大时代鸡犬也不宁⏎试问谁又喜欢过清静⏎假使你很相信相信前程由天定⏎你就留在家里赞念圣经⏎尽情地作乱⏎够惊险方配叫做乐园 作乱⏎大好的先机在脚边 尽情地作乱⏎哪稀罕不变五十年⏎扬名成霸业 就趁它乱⏎同颂赞大时代的歌舞昇屏⏎试问谁又喜欢过安定⏎假使你很相信相信繁荣由天定⏎你就留在家中等太平⏎同颂赞大时代鸡犬也不宁⏎试问谁又喜欢过清静⏎假使你很相信相信前程由天定⏎你就留在家里念圣经⏎浮生原若梦 乱世出英雄⏎同颂赞大时代鸡犬也不宁⏎试问谁又喜欢过清静⏎假使你很相信相信前程由天定⏎你就留在家里念圣经","语料库",""
"教堂的初吻(粤)","","品冠","每位宾客莅临做证⏎如此紧张才找不到戒指⏎怀中一扎花醉人还不够你吸引⏎令这一吻像初吻⏎凝望你远远步近⏎才感到捉紧梦想的一生⏎愿共对不明未来⏎或暴雨中有感慨⏎还共尝病痛或困或苦⏎未教我避开⏎这婚纱飘进教堂中⏎还扮作脚步放轻松⏎直到风雨过后还走近⏎才让我照料你一生⏎从嘉宾讥笑太天真⏎无奈这个信念太逼真⏎未见半空天使靠近你身⏎仍然醉心徘徊教堂内一吻⏎你的双眼流露任性⏎唇边幽香 说不出的快感⏎怀中不老的爱人⏎容许我又一吻⏎愿每一次像初吻⏎怎么你的吻 怎把我吸引⏎oh 来一吻 来作证 证实爱一生⏎这婚纱飘进教堂中⏎还扮作脚步放轻松⏎在这刻天使有心⏎从旁看真⏎徘徊教堂内一吻","语料库",""
"祷告","","刘德华","衷心的祷告  但愿涤尽烦恼⏎让我孤单之中不空虚⏎黑暗中找到光辉前路⏎伤心不泣诉  话别寂寞怀抱⏎让我擦去了过往的风霜⏎不再困进痛苦迷路⏎失足不苦恼  莫让幸运来到⏎让我佩上了勇气的勋章⏎失意的冲击  但愿我会强渡⏎未屈膝的乞讨  唯祈求一丝生机的鼓舞⏎披荆斩棘都坚决上路  在岁月里未怕跌倒⏎灰色的清早  我向苍天衷心祷告⏎以一生的努力  换我自信自傲⏎衷心的祷告  但愿涤尽烦恼⏎让我孤单之中不空虚⏎黑暗中找到光辉前路⏎失足不苦恼  莫让幸运来到⏎让我佩上了勇气的勋章⏎失意的冲击  但愿我会强渡⏎未屈膝的乞讨  唯祈求一丝生机的鼓舞⏎披荆斩棘都坚决上路  在岁月里未怕跌倒⏎灰色的清早  我向苍天苍天衷心祷告⏎以一生的努力  换我自信自傲","语料库",""
"爱的洗礼","","林志美","像是梦幻附在我的身体中⏎你已摄进于眼底⏎爱意渗透情在内心洗礼后⏎一切是没有因为⏎默默望着令我的心更着迷⏎系爱人常一可呆废⏎爱似气压常在内心迫压着 一发难自制⏎直透心窝一丝丝曙晖⏎为你今天可破例⏎鲜花开得美丽 佳因天下雨露来传递⏎寻找到热爱的光辉⏎难得所爱甘于彻底⏎阳光也静悄的偷窥⏎遥望两个心今天已一体⏎像是梦幻附在我的身体中⏎你已摄进于眼底⏎爱意渗透情在内心洗礼后⏎一切是没有因为⏎默默望着令我的心更着迷⏎系爱人常一可呆废⏎爱似气压常在内心迫压着 一发难自制⏎直透心窝一丝丝曙晖⏎为你今天可破例⏎鲜花开得美丽 佳因天下雨露来传递⏎寻找到热爱的光辉⏎难得所爱甘于彻底⏎阳光也静悄的偷窥⏎遥望两个心今天已一体⏎直透心窝一丝丝曙晖⏎为你今天可破例⏎鲜花开得美丽 佳因天下雨露来传递⏎寻找到热爱的光辉⏎难得所爱甘于彻底⏎阳光也静悄的偷窥⏎遥望两个心今天已一体⏎寻找到热爱的光辉⏎难得所爱甘于彻底⏎阳光也静悄的偷窥⏎遥望两个心今天已一体","语料库",""
"祈祷","","蔡幸娟","让我们敲希望的钟啊⏎多少祈祷在心中⏎让大家看不到失败⏎叫成功永远在⏎让地球忘记了转动啊⏎四季少了夏秋冬⏎让宇宙关不了天窗⏎叫太阳不西冲⏎让欢喜代替了哀愁啊⏎微笑不会再害羞⏎让时光懂得去倒流⏎叫青春不开溜⏎让贫穷开始去逃亡啊⏎快乐健康留四方⏎让世界找不到黑暗⏎幸福像花开放⏎让我们敲希望的钟啊⏎多少祈祷在心中⏎让大家看不到失败⏎叫成功永远在⏎让地球忘记了转动啊⏎四季少了夏秋冬⏎让宇宙关不了天窗⏎叫太阳不西冲","语料库",""
"少女的祈祷","","张敬轩","少女的祈祷⏎沿途与他车厢中私奔般恋爱⏎再挤逼都不放开⏎祈求在路上没任何的阻碍⏎令愉快旅程变悲哀⏎连气两次绿灯都过渡了⏎与他再爱几公里⏎当这盏灯转红便会别离⏎凭运气决定我生死⏎祈求天地放过一双恋人⏎怕发生的永远别发生⏎从来未顺利遇上好景降临⏎如何能重拾信心⏎祈求天父做十分钟好人⏎赐我他的吻 如怜悯罪人⏎我爱主 同时亦爱一位世人⏎祈求沿途未变心 请给我护荫⏎为了他 不懂祷告 都敢祷告⏎谁愿眷顾 这种信徒⏎用两手遮掩双眼专心倾诉⏎宁愿答案 望不到⏎唯求与他车厢中可抵达未来⏎到车毁都不放开⏎无论路上历尽任何的伤害⏎任由我决定爱不爱⏎祈求天地放过一双恋人⏎怕发生的永远别发生⏎从来未顺利遇上好景降临⏎如何能重拾信心⏎祈求天父做十分钟好人⏎赐我他的吻 如怜悯罪人⏎我爱主 同时亦爱一位爱人⏎祈求沿途未变心 请给我护荫⏎为了他 不懂祷告 都敢祷告⏎谁愿眷顾 这种信徒⏎太爱他怎么想到这么恐布⏎对绿灯 去哀求哭诉⏎然而天父并未体恤好人⏎到我睁开眼 无明灯指引⏎我爱主 为何任我身边爱人⏎离弃了我下了车 你怎可答允","语料库",""
"冰淇淋的祈祷","","范晓萱","昨天给我遇上⏎一个人的周末⏎大家都在街上⏎努力充实 生活⏎电杆上的小鸟⏎给晒得不能再叫⏎小孩子的手上⏎都是冰淇淋的祈祷⏎找个朋友 靠一靠⏎找个朋友 聊一聊⏎找个朋友 靠一靠⏎找个朋友 聊一聊⏎今天天气很好⏎幻想你在我的怀抱⏎时间还是很早⏎去找一个海岛⏎肩膀上的汗水⏎蒸发一点疲累⏎曾经你的眼泪⏎教我心如止水⏎找个地方 泡一泡⏎找个地方 靠一靠⏎找个地方 逃一逃⏎找个地方 睡一个觉","语料库",""
"福音","","张震岳","十字宝架顶天立地，⏎充满宇宙充满地极⏎他是道路生命真理⏎十架救恩奇妙无比⏎啊…..福音就是耶稣⏎明白了福音救赎是真理⏎啊…..福音就是耶稣⏎拥有了耶稣永生就给你⏎谦卑顺服慈爱公义⏎平安喜乐诚实怜恤⏎全能全善永生的信息⏎舍身舍命只因爱你⏎啊…..福音就是耶稣⏎明白了福音救赎是真理⏎啊…..福音就是耶稣⏎拥有了耶稣永生就给你⏎啊…..福音就是耶稣⏎明白了福音救赎是真理⏎啊…..福音就是耶稣⏎拥有了耶稣永生就给你⏎拥有了耶稣永生就给你","语料库",""
"我祈祷","","戴佩妮","我偶尔也会心感到有些恐惧⏎我偶尔也想某天到教堂去⏎每天有太多可怕的事⏎昨天有人无端端结束生命⏎今天还找不到尸体⏎每天有太多遗憾的事⏎更遗憾的我无法告诉你⏎明天你会在哪里⏎我祈祷每一天的每一秒⏎都不会害怕会失去自己⏎未来有迹可寻⏎我祈祷每一天的每一秒⏎都不会害怕会迷失自己⏎未来在我手里⏎我偶尔也会感到有些不确定⏎我偶尔也想做些事安抚情绪⏎我要我不后悔我做的事⏎也不要再难过过去发生的事⏎从自己开始⏎我要我只做我想做的事⏎时间不容许我在乎太多的事⏎从现在开始⏎我祈祷每一天的每一秒⏎都不会害怕会失去自己⏎未来有迹可寻⏎我祈祷每一天的每一秒⏎都不会害怕会迷失自己⏎未来在我手里 在我手里⏎我祈祷每一天的每一秒⏎都不会害怕会失去自己⏎未来有迹可寻⏎我祈祷每一天的每一秒⏎都不会害怕会迷失自己⏎未来在我手里 在我手里⏎我偶尔也会乞求上帝保佑你","语料库",""
"祈祷","","翁倩玉","让我们敲希望的钟呀 多少祈祷在心中⏎让大家看不到失败 叫成功永远在⏎让地球忘记了转动呀 四季少了夏秋冬⏎让宇宙关不了天窗 叫太阳不西冲⏎让欢喜代替了哀愁呀 微笑不会再害羞⏎让时间懂得去倒流 叫青春不开溜⏎让贫穷开始去逃亡呀 快乐健康留四方⏎让世间找不到黑暗 幸福像花儿开放⏎不再有悲哀 不会没有爱⏎幸福直到永远⏎让我们敲希望的钟呀 多少祈祷在心中⏎让大家看不到失败 叫成功永远在⏎让我们看不到失败 叫成功永远在","语料库",""
