题目,朝代,作者,内容,来源,词牌
"香闺十咏 其三 鹊尾炉","元","张玉娘","汉宫早送瑶池信，荀令堂前夜气浮。凭仗花间拜新月，重添新篆炷春愁。","Werneror",""
"咏案头四俊 凤尾笔","元","张玉娘","近来觅得管城子，修竹枝头彩影高。气挟风云驱阵势，光摇文彩动旌旄。诗成览德三书俊，梦入生花五色豪。圣代祇今皆有象，晴窗处处凤凰毛。","Werneror",""
"双调 水仙子 失题","元","无名氏","青山隐隐水茫茫，时节登高却异乡。孤城孤客孤舟上，铁石人也断肠，泪涟涟断送了秋光。黄花梦，一夜香，过了重阳。夕阳西下水东流，一事无成两鬓秋。伤心人比黄花瘦，怯重阳九月九。强登临情思悠悠，望故国三千里，倚秋风十二楼。没来由惹起闲愁。常记的离筵饮泣饯行时，折尽青青杨柳枝。欲拈斑管书心事，无那可乾坤天样般纸。意悬悬诉不尽相思，谩写下鸳鸯字，空吟就花月词，凭何人付与娇姿。一春鱼雁杳无闻，千里关山劳梦魂。数归期屈指春纤困，结灯花犹未准。叹芳年已过三旬，退莲脸消了红晕。压春山长出皱纹，虚度了青春。","Werneror",""
"中吕 其二 红绣鞋","元","无名氏","孤雁叫教人怎睡，一声声叫的孤凄，向月明中和影一双飞。你云中声嘹亮，我枕上泪双垂，雁儿我争你个甚的。","Werneror",""
"红绣鞋 赠妓","元","无名氏","长江水流不尽心事，终条山隔不断情思。想著你，夜深沉，人静悄，自来时。来时节三两句话，去时节一篇词，记在你心窝儿里直到死。","Werneror",""
"中吕 快活三过朝天子四换头 叹四美","元","无名氏","良辰媚景换今古，赏心乐事暗乘除。人生四事岂能无，不可教轻辜负。唤取，伴侣，正好向西湖路，花前沉醉倒玉壶，香滃雾，红飞雨。九十韶华，人间客寓，把三分分数数，一分是流水，二分是尘土，不觉的春将暮。西园杖屦，望眼无穷恨有馀，飘残香絮，歌残白苧，海棠花底鹧鸪，杨柳梢头杜宇，都唤取春归去。","Werneror",""
"雁儿落带过得胜令 失题","元","无名氏","一年老一年，一日没一日，一秋又一秋，一辈催一辈，一聚一离别，一喜一伤悲。一榻一身卧，一生一梦里。寻一伙相识，他一会咱一会，都一般相知，吹一回，唱一回。","Werneror",""
"【双调】寿阳曲 思旧","元","邦哲","初相见，意思浓，两下爱衾枕和同。销金帐春色溶溶，云雨期真叠叠重重。谁知道，天不容，两三年间抛鸾拆凤。苦多情朝思夜梦，害相思沉沉病重。尔在东，我在西，阳台梦隔断山溪。孤雁唳夜半月凄凄，再相逢此生莫期。","Werneror",""
"【南吕】一枝花","元","奥敦周卿","平林暮霭收，远树残霞敛。疏星明碧汉，新月转虚檐。院宇深严，人寂静门初掩，控金钩垂绣帘。喷宝兽香篆初残，近绣榻灯光乍闪。","Werneror",""
"【南吕】一枝花 远归","元","奥敦周卿","年深马骨高，尘惨貂裘敝。夜长鸳梦短，天阔雁书迟。急觅归期，不索寻名利。归心紧归去疾，恨不得袅断鞭梢，岂避千山万水！","Werneror",""
