题目,朝代,作者,内容,来源,词牌
"赠歌者杜氏入道三首 其三","元","潘纯","云髻高梳鬓不分，扫除虚室事元君。新糊白纸屏风上，尽画蓬莱五色云。","Werneror",""
"神山避暑晚行田间用陶渊明平畴交远风良苗亦怀新为韵 其一","元","许有壬","田塍晚独策，及此时雨晴。东畦与西疃，泱泱流水声。丰年已足欢，清风复多情。归来藉草坐，浊酒还自倾。不用浇磈磊，我怀无不平。","Werneror",""
"汉阳郎官湖歌","元","李泂","山翁薄暮醉酒归，杖藜迷却高阳池。清风吹花绿阴倒，我笑谓是秋云移。还乘贯月槎，夜过郎官湖。峥嵘星斗入江汉，荡漾槎影如鲸鱼。九华之真人，邀我倒玉壶。麒麟擘脯供行厨，依稀仙乐在空际，碧山四映寒蟾孤。举酒酌寒蟾，明月下饮嫦娥俱。霓裳拂云锦，万荷露泻琼瑶珠。麾幢晻霭罗烟空，乃有玉皇所授之玉童。风前飘飘曳广带，对立十二秋芙蓉。清香九曲银河通，真人绿发披天风。锦袍玉雪照天地，口说姓字安南公。是公多逸气，略与古昔贤豪同。时能扫月色，延我石室烟萝中。又言昔同张谓所游地，长啸一覆丹霞钟。风吹仙乐度溪去，我已醉卧香炉峰。","Werneror",""
"天马歌","元","陆仁","于穆世祖肇王迹，受天之庆大命集。神宇鸿图大无及，功烈皇皇共开辟。四方下上沛流泽，列圣相承缵丕绩。哲王嗣位建皇极，大臣弼辅尚禹稷。礼乐制度靡有隙，六府孔修万姓怿。天子圣德于昭共，念承皇祖心弗宅。日月同明天地廓，绝域穷陲归版籍。万国贡献岁靡息，琛瑶瑰异陋金锡。岂须征讨费兵革，文怀远人尽臣服。至正壬午秋之日，天马西来佛郎国。佛郎之国邈西域，流沙瀰漫七海隔。浪波横天马横涉，马其犹龙弗颠踣。东逾月窟过回纥，陆地不毛千里赤。太行雪积滑如石，电激雷奔走飙歘。四年去国抵京邑，俯首阙廷拜匍匐。帝见远臣重怵惕，慰劳以酒赐以帛。远臣牵马赤墀立，金羁络头朱汗滴。房星下垂光五色，肉騣巍巍横虎脊。崇尺者六修丈一，墨色如云踶两白。天闲骐驎俱骏骨，天马来时皆辟易。骕骦屈桀未足惜，大宛渥洼斯与敌。穆王八骏思游历，汉武穷兵不多得。天马自来徵有德，史臣图颂永无斁。再拜歌诗思彷佛，愿帝爱贤如爱物。更诏山林访遗逸，□□治化齐尧日。帝业永固保贞吉，天子万寿天降福。","Werneror",""
"天马歌","元","宋无","天马天上龙，驹生天汉间。两目夹明月，蹄削昆崙山。元气饮沆瀣，跃步超人寰。天上玉帝老不骑，饥食虎豹晓出关。灭没流彗姿，歘忽紫电颜。黄道三十六万里，日驰周天去复还。时乎降精渥洼中，龙性变化终难攀。天马来，瑞何朝。化为龙，应童谣。驺虞仁兽耻在坰，龙亦绝迹归赤霄。风沙岂无大宛种，虽有八极安能超。天马来，云雾开。天厩騕袅鸣龙媒，龙媒不鸣鸣驽骀。","Werneror",""
"古砚歌","元","宋无","神娲踏云补天去，遗下一团苍黑天。千年万年乾不得，长带盘古青紫烟。玉工剖天天化石，石内星精有馀魄。雕光发炯成禹璧，海王川后输玄液。帝青呵雾坤倪湿，匣月不开太阴泣。破天残缺无人补，一穴丝丝漏春雨。空藏老石磨今古，补天何时与天语。","Werneror",""
"玉津园弃景钟歌","元","宋无","炎精不灵火不德，赤熛怒帝丧英魄。羿弓射日日无光，黄金大镛破釜色。天崩七庙移神虚，鬼哭长陵一抔土。十二盘倾夜月寒，汉铜仙人泪如雨。六龙屈曲眠秋草，草根蟪蛄语昏晓。紫苔满地愁古春，东风吹得乾坤老。蜗涎鸟篆银泥剥，乌啄蒲牢戏左角。更残漏断声莫闻，凡鸡司晨尊铁铎。","Werneror",""
"宝剑谣","元","宋无","铁精苍玉龙，景潜万丈虹。孤电走白日，老冰立秋空。提出天地愁，八极来清风。未逢龙准帝，古匣尘土蒙。大蛇当道兮若断秋蓬，呜呼宝剑兮亦将遇乎英雄。","Werneror",""
"枯鱼过河泣","元","宋无","北溟有鲲，喷薄昆崙，气吞积石摧禹门。过河河水枯，踪迹困泥涂。垂涎向海若，能济涓滴无。中流有鲂鲤，不贷斗升水。巨口走噞喁，逆游莫若鲔。鲲兮鲲兮，尔泣何由。龙伯知决雨，津倒天池。洚水横行，随鲲所之。扬鳍为谢鲂与鲤，还有桃花春涨时。","Werneror",""
"送陈行之之信州推官","元","宋无","汉守曾悬榻，家声复世纶。赞廉推雅士，列郡重嘉宾。昭代详刑谳，贤僚体圣仁。裤襦怜故老，狴犴念冤人。英干登时望，文华异等伦。固宜膺宠渥，岂但活罢民。江左名藩旧，风流佐幕新。平反须有颂，刚决看如神。郤鉴初荣养，黄香早缔姻。锦还乡已昼，綵戏室俄春。自补寻山屐，谁亲垫雨巾。拊循恩易洽，煦妪俗当淳。曲动《阳关》叠，樽移祖帐陈。未能忘手握，何得更情亲。羡尔丹霄贵，悲余白发贫。尚期金鼎药，犹客素衣尘。岩壑将幽赏，烟霞欲隐沦。交游千古事，离别百年身。楚泽寒多雁，吴波暖见鳞。相思不相见，音问莫辞频。","Werneror",""
