题目,朝代,作者,内容,来源,词牌
"鹧鸪天 癸巳生日故人问讯，焚香自遣","当代","石任之","七宝鬘云雨异香。梅阴素手爇初阳。双烟如织分明怨，一寸成灰彻底藏。金烬黯，暖氛凉。馀薰深忏腻吾裳。未来因莫轻轻种，小劫空华只自忘。","Werneror",""
"听琴","当代","卢青山","羲皇建木荫人寰，娲皇结丝神桑蚕，彼岂有意肇其端。后之奇圣心桓桓，舌不得语如钥关，合此丝木聊相宣。试拂以指声空然，袅袅如断如连环，此非其魂飏而翻。万年一瞬不可攀，死者已死传者传，我来犹及观奇观。老翁默坐垂长髯，焚香静直躯不弯，举座恭穆如朝参。长河渺渺生孤帆，渐近而前兴微澜，既渐而逝天之缘。琵琶艳薄徒浮繁，二胡凄抑谁能堪，唯此古拙舒以宽。君不见此流水与高山，山齿齿兮水潺潺，渔樵容裔全其天。山中伐木声檀檀，短桨细与波周旋，此呼彼答回苍岚。朝携同出暮同还，慈严妻子守门椽，相随者谁鸟关关。廿年流泊思归船，不循此去更何川，感我双泪下流丸。泪不能止曲已完，眼前车马奔惊湍。人嚣尘捲鬼狂欢，唯予块立魂如删。","Werneror",""
"临江仙 癸巳孟冬湖西三醉芙蓉犹有馀妍","当代","石任之","已向人间三醉后，依然花气如酲。白英翠萼转分明。可堪秋寤寐，输与蝶精诚。坐久不知谁是梦，风前看到红生。苍苔寥寂妒金铃。飞沉都莫问，暂得我怜卿。","Werneror",""
"咏因特网","当代","陈伟强","重重帝网下苍穹，裹得凡人尽化“虫”。世界三千光里现，生灵十亿镜中逢。红尘从此绝青鸟，碧落如今通雪鸿。昨夜嫦娥遣“伊妹”，邀侬同住广寒宫。","Werneror",""
"沈园歌","当代","陈伟强","踏遍江南绿水村，赏心最是沈家园。游人多倚荷边榭，骚客频推柳下门。十二栏干处处风，春波桥上看飞红。壁间两阕《钗头凤》，使我低徊思放翁。放翁本是佳公子，绮貌清才世无比。远志常教侠士钦，多情每使美人喜。山阴闺秀名唐琬，蕙质兰心眉宛转。缘是陆郎中表亲，茜纱窗下常相见。与郎初见即相羡，脉脉含情度几春。灵鹊为媒诗作聘，一朝碧玉属良人。鼓琴调瑟无终日，缱绻还如胶与漆。秋采金英春采兰，郎心妾意俱成蜜。恩爱虽令牛女惭，风流偏惹翁姑嫉。每云卓女远山眉，能使相如英气逸。夫怜姑嫉苦难均，妇似臣民姑似君。无端一阵罡风至，吹得鸳鸯两地分。百转千回分不得，临歧更把斑骓勒。此时只是泪涔涔，此处何因寒恻恻？从此伊人隔秋水，朝朝相望不相亲。通传私语无青鸟，寄托春心有素琴。魂魄每于花下并，梦回惟见香盈径。啼穿绣枕我还颦，语遍雕栏他不应。深情桓子岂无后，薄命萧娘亦有家。只为旧人恩义重，不能怜取眼前花。看朱成碧愁难诉，转绿回黄秋又暮。劳燕分飞近十年，沈家园里忽相遇。妾减腰肢郎鬓丝，回头一望竟成痴。别来多少缠绵意，尽在低眉敛涕时。好花已落他人手，海誓山盟空回首。万语千言不可传，赠君一斗黄滕酒。酒中有妾相思泪，流入君怀君自知。芳醪入口郎心碎，却向壁间题怨词。声声只道：“错，错，错”，引得琬卿魂欲落，亦持彩笔写哀辞。夫唱妇随如昔日，教人焉得不伤悲。一水盈盈不可渡，重抛泪眼送君去。知君此去见无由，心旆摇摇似残炬。漏静宵清不掩帷，水晶帘下久支颐。无边往事无穷恨，都上弯弯柳叶眉。弱质难担愁万斛，病魂渐似秋千索。扁鹊辞归华陀来，欲医花症无良药。蜡烛将残犹堕泪，蜘蛛垂死尚寻丝。床前一把无情火，焚尽断肠千首诗。风吹罗幕雨敲户，枝上声声啼杜宇。紫玉多情竟化烟，绿珠无价终成土！男儿七尺当报国，颈血惟应向虏倾。铁马冰河堪忘我，胡笳月夜倍思卿。壮志难酬国难复，五湖四海飘零久。拄杖重来寻暗香，斜阳清角黄昏后。点点飞红穿客袖，青鞋轻踏沈园春。曲栏幽榭皆依旧，壁上情词锁碧尘。亭台依旧人何在，已是香消四十秋！桃花灼灼如卿面，春波滟滟似卿眸。埋玉疑将心共葬，黄滕浊酒最难忘。是醪是泪是相思，一口犹如海水量。天理私情若个重，白头未醒巫云梦！红泪凝成多少诗，销魂岂独《钗头凤》？诗句流传八百年，使侬一诵便缠绵。阿侬寄语放翁道：“莫怨娘亲只怨天。佳人自古多薄命，天理从来忌有情！君不见红楼一觉烟花梦，金玉缘摧木石盟”？耳边一缕天音绕：“天若有情天亦老，人无真爱如衰草。荣华富贵等尘埃，惟有深情是异宝。别恼聚恂欢乐稀，痴儿騃女尚依依。君不见生难共枕死同穴，梁祝双双化蝶飞”！","Werneror",""
"减字木兰花 偶翻旧帙，扉页中落下残花数片，乃少年时拾作书签者也。感而赋此","当代","陈伟强","水流风送，姹紫嫣红都是梦。梦也怜赊，百万银钩护落花。香魂一缕，毕竟人间留不住。缃帙开时，化作翩翩蝴蝶飞。","Werneror",""
"鹧鸪天  仲秋客蓉城偕诸侣小集啃轩先生十二梅花吟馆同赋","当代","王蛰堪","清兴随缘作蜀游。高斋茗雾聚群鸥。三千世界归残笔，十二梅花荡俗眸。霜荐桂，露涵秋。书城坐拥晲封侯。今宵把酒须同醉，帘月弯钩到小楼。","Werneror",""
"浣溪纱","当代","王蛰堪","岂必江南是水乡。接天苍翠幻迷茫。湖山影里且称觞。几许吟怀牵暮霭，无边思绪付词章。夕晖惊又到垂杨。","Werneror",""
"浣溪纱","当代","陈振家","春雨初停夜色佳，田畴处处听鸣蛙。暗香阵阵隔篱花。木凳挑灯相对弈，瓷壶分盌细斟茶。此身忘却在天涯。","Werneror",""
"浣溪纱","当代","陈永正","风雨怜伊怨落矄。自从凝伫送朝云。一天淅沥到黄昏。付与寒衾终是泪，赢来绮梦顿如尘。伤心何止在眉颦。","Werneror",""
"浣溪纱","当代","陈凡","世路崎岖数十秋。镜中白尽少年头。登楼未敢说忘忧。甘苦悲欢随逝水，苍茫百感遏飞舟。夜深犹自看吴钩。","Werneror",""
"浣溪纱","当代","王陈常","暮暮朝朝仆仆奔。勤勤恳恳诲谆谆。常常闷闷眼昏昏。是是非非情漠漠，甘甘苦苦味津津。心心念念在孙孙。","Werneror",""
"浣溪纱","当代","林修竹","莱子娱亲舞彩裳。庭前孙女斗新妆。相偕祝寿到华堂。知足人生须常乐，百年应自惜流芳。陶然且共醉霞觞。","Werneror",""
"浣溪纱 石牛洞摩崖石刻","当代","王蛰堪","藓壁摩崖有洞天。低阶绕石响流泉。俗怀暂许忘尘烦。风雅千年馀胜迹，神魂一霎接前贤。茶烟竹雾且流连。","Werneror",""
"浣溪纱 过陈独秀墓","当代","王蛰堪","功过应难论是非。当年只手唤云雷。可堪初始愿相违。半世纵横归落寞，几番风雨感栖迟。临终心事定谁知。","Werneror",""
"浣溪纱 丽江束河古镇客次雅集分韵得真","当代","王蛰堪","劫里溪山认未真。俊游乏兴纪纷纭。吟踪小驻纳西村。是处应无清静地，坊间尽是外来人。酒边谁与惜黄昏。","Werneror",""
"探春慢 辛卯嘉平五日，京津粤川渝苏及门诸子十人,集于沽上，访梦碧词社旧址，兼祭梦翁，秋扇并缋斜街寻梦图，拈此调同赋","当代","王蛰堪","髡柳凝枝，浓云酿雪，严寒深冱烟水。坛坫声消，风流韵杳，谁识词仙梓里。为溯当年影，恁踯躅、悲怀难已。酒边歌吹依微，仰天挥作清泪。欣看旧盟新侣，三十载前踪，还又重理。麝篆延香，槐根续梦，替写吟缣一纸。思接昏鸦外，待听取、九霄环佩。望极冰河，骚魂应在天际。","Werneror",""
"虞美人 高凉邀游鹭岛，夜宿古雷，茗坐清话，听和轩吹箫","当代","王蛰堪","神回客舍涛声外。瞥眼春难再。一杯薄酒也销魂。料得明年此夜忆孤村。红消翠减香成阵。转觉西风嫩。共谁沧海认蹄涔。擪断寒宵韵底起龙吟。","Werneror",""
"霜叶飞 辛卯秋暮偕京中诸侣访西山黄叶村，传为曹雪芹晚岁著书之所，宁信其实，同赋此调","当代","王蛰堪","岫云凭断。登临候、吟怀惊又秋晚。漫循黄叶认孤村，冷梦凭谁唤。见说是、情缘曼衍。移来珠草灵河岸。算别有伤心，伴蜡泪、灯枯岁尽，曾寄哀怨。依旧射目酸风，层峦迷望，忍道尘世都换。俊盟能几赋清游，把酒芳痕饯。剩万缕、蚕丝自茧。寒英祗怕香吹乱。动客愁、相将处，小伫回眸，夕阳山半。","Werneror",""
